Tool,VM,size,GPU,PKG,seconds
pinpoint, node, 1024, 138.32, 21.01, 14.85050652
pinpoint, node, 1024, 151.6, 24.46, 15.10268680
pinpoint, node, 1024, 151.14, 24.1, 15.44568094
pinpoint, node, 1024, 127.43, 16.28, 14.67572637
pinpoint, node, 1024, 133.16, 15.51, 14.45868463
pinpoint, node, 1024, 125.78, 15.1, 14.93507484
pinpoint, node, 1024, 141.45, 15.18, 15.06388567
pinpoint, node, 1024, 141.85, 15.1, 15.18036984
pinpoint, node, 1024, 129.04, 15.29, 14.56349797
pinpoint, node, 1024, 132.15, 15.15, 14.86645715
pinpoint, node, 1024, 131.01, 15.43, 14.82924818
pinpoint, node, 1024, 143.76, 15.2, 14.50420666
pinpoint, node, 1024, 136.61, 15.25, 14.87789610
pinpoint, node, 1024, 131.42, 15.43, 14.70709263
pinpoint, node, 1024, 145.36, 15.25, 14.59523926
pinpoint, node, 2048, 327.77, 26.18, 26.53956790
pinpoint, node, 2048, 241.44, 25.5, 27.80040856
pinpoint, node, 2048, 243.22, 25.75, 28.04568924
pinpoint, node, 2048, 243.82, 27.97, 28.41268046
pinpoint, node, 2048, 243.76, 25.51, 27.92471991
pinpoint, node, 2048, 243.45, 26.9, 28.24122683
pinpoint, node, 2048, 242.89, 25.59, 27.76974214
pinpoint, node, 2048, 240.45, 25.8, 27.87224859
pinpoint, node, 2048, 244.66, 26.03, 28.06672292
pinpoint, node, 2048, 242.71, 25.69, 27.57791337
pinpoint, node, 2048, 238.32, 25.47, 27.44407862
pinpoint, node, 2048, 240.03, 25.61, 27.74091467
pinpoint, node, 2048, 250.79, 26.84, 29.03723778
pinpoint, node, 2048, 236.25, 25.48, 27.58583779
pinpoint, node, 2048, 243.02, 25.69, 28.17711326
pinpoint, node, 4096, 361.9, 0.460000000000001, 21.67534387
pinpoint, node, 4096, 267.53, -1.75, 20.01666378
pinpoint, node, 4096, 195.9, -0.73, 22.97511727
pinpoint, node, 4096, 199.33, -0.68, 23.20084519
pinpoint, node, 4096, 197.39, -0.629999999999999, 23.11354863
pinpoint, node, 4096, 194.31, -0.859999999999999, 22.97276637
pinpoint, node, 4096, 238.4, 2.07, 27.12956250
pinpoint, node, 4096, 236.25, 1.59, 26.83392520
pinpoint, node, 4096, 195.84, -0.82, 22.89387714
pinpoint, node, 4096, 256.33, 4.11, 29.51279350
pinpoint, node, 4096, 242.02, 2, 27.04714194
pinpoint, node, 4096, 235.97, 2.27, 26.96013087
pinpoint, node, 4096, 233.79, 1.95, 27.01885857
pinpoint, node, 4096, 201.98, -0.600000000000001, 23.04235079
pinpoint, node, 4096, 244.93, 3.61, 28.45501077
pinpoint, bun, 1024, 112.38, 5.69, 6.31905189
pinpoint, bun, 1024, 104.48, 6.22, 5.76514453
pinpoint, bun, 1024, 72.53, 5.97, 7.53427213
pinpoint, bun, 1024, 63.61, 5.99, 7.37059779
pinpoint, bun, 1024, 69.66, 6.22, 8.01275614
pinpoint, bun, 1024, 62.67, 5.94, 7.37744316
pinpoint, bun, 1024, 63.87, 5.87, 7.31461976
pinpoint, bun, 1024, 62.46, 5.89, 7.29566211
pinpoint, bun, 1024, 68.49, 6.06, 7.83135793
pinpoint, bun, 1024, 65.22, 5.9, 7.34789528
pinpoint, bun, 1024, 66.86, 5.98, 7.42219352
pinpoint, bun, 1024, 65.76, 5.97, 7.36778680
pinpoint, bun, 1024, 63.87, 5.92, 7.32768509
pinpoint, bun, 1024, 64.68, 6.08, 7.61421755
pinpoint, bun, 1024, 66.1, 6.14, 7.52396936
pinpoint, bun, 2048, 158.84, 6.8, 11.45997157
pinpoint, bun, 2048, 114.95, 7.43, 13.01310526
pinpoint, bun, 2048, 113.57, 7.49, 12.99815550
pinpoint, bun, 2048, 108.08, 7.27, 12.49396085
pinpoint, bun, 2048, 110.83, 7.49, 12.93335798
pinpoint, bun, 2048, 111.07, 7.59, 12.64619329
pinpoint, bun, 2048, 109.46, 7.42, 12.70102809
pinpoint, bun, 2048, 115.22, 7.45, 12.93102213
pinpoint, bun, 2048, 114.68, 7.4, 12.86419551
pinpoint, bun, 2048, 116.15, 7.61, 13.20730970
pinpoint, bun, 2048, 107.68, 7.31, 12.53457014
pinpoint, bun, 2048, 112.28, 7.44, 12.78696712
pinpoint, bun, 2048, 111.47, 7.48, 12.91598861
pinpoint, bun, 2048, 111.23, 7.9, 13.10086180
pinpoint, bun, 2048, 110.04, 7.32, 12.43537054
pinpoint, bun, 4096, 263.11, 6.2, 20.58154337
pinpoint, bun, 4096, 200, 7.5, 23.09757218
pinpoint, bun, 4096, 197.38, 8.15, 22.99935602
pinpoint, bun, 4096, 197.17, 7.11, 22.68143397
