Tool,VM,size,GPU,PKG,seconds
pinpoint, node, 1024, 0, 218.25, 10.70782605
pinpoint, node, 1024, 7.37, 255.17, 10.66926711
pinpoint, node, 1024, 0.140000000000015, 227.39, 10.65502265
pinpoint, node, 1024, 0.509999999999991, 210.27, 10.85480259
pinpoint, node, 1024, 0, 219.97, 10.76482418
pinpoint, node, 1024, 2.09, 254.13, 10.85838237
pinpoint, node, 1024, 45.49, 264, 10.97412236
pinpoint, node, 1024, 12.13, 330.99, 11.22826298
pinpoint, node, 1024, 21.5, 398.02, 11.21530378
pinpoint, node, 1024, 45.78, 404.82, 11.29817677
pinpoint, node, 1024, 14.59, 321.73, 11.32813137
pinpoint, node, 1024, 2.90000000000001, 275.5, 11.05738090
pinpoint, node, 1024, 7.71000000000001, 272.72, 10.96301285
pinpoint, node, 1024, 2.55000000000001, 248.36, 11.05491347
pinpoint, node, 1024, 1.72, 237.7, 11.03838400
pinpoint, node, 2048, 2.22999999999996, 431.01, 16.89849848
pinpoint, node, 2048, 4.63, 432.18, 16.96677623
pinpoint, node, 2048, 0, 395.37, 16.64557869
pinpoint, node, 2048, 3.11999999999995, 398.72, 16.61629223
pinpoint, node, 2048, 23.1799999999999, 446.19, 16.89522538
pinpoint, node, 2048, 13.04, 381.6, 16.80828880
pinpoint, node, 2048, 6.03999999999996, 422.52, 17.08367145
pinpoint, node, 2048, 1.05999999999995, 406.71, 16.88383306
pinpoint, node, 2048, 4, 410.27, 17.00852744
pinpoint, node, 2048, 8.39999999999998, 430.23, 16.98907322
pinpoint, node, 2048, 10.78, 417.14, 17.15389356
pinpoint, node, 2048, 2.94999999999999, 392.24, 16.80392116
pinpoint, node, 2048, 0, 381.73, 16.59974106
pinpoint, node, 2048, 15.53, 434.16, 16.82592885
pinpoint, node, 2048, 1.59999999999997, 397.44, 16.84720756
pinpoint, node, 4096, 0, 780.42, 35.98986694
pinpoint, node, 4096, 0, 781.42, 37.16718708
pinpoint, node, 4096, 0, 835.38, 38.02177276
pinpoint, node, 4096, 0, 908.15, 37.98830790
pinpoint, node, 4096, 0, 679.35, 34.45931226
pinpoint, node, 4096, 0, 684.2, 34.89684800
pinpoint, node, 4096, 47.6700000000001, 1060.25, 39.94560314
pinpoint, node, 4096, 0, 902.2, 37.61854677
pinpoint, node, 4096, 0, 826.3, 36.64820756
pinpoint, node, 4096, 0, 958.03, 38.80777305
pinpoint, node, 4096, 0, 903.15, 36.51665963
pinpoint, node, 4096, 0, 904.87, 38.00361955
pinpoint, node, 4096, 0, 781.06, 36.56477223
pinpoint, node, 4096, 0, 752.79, 35.99939130
pinpoint, node, 4096, 3.5, 951.39, 38.64590008
pinpoint, bun, 1024, 0, 58.68, 4.54157783
pinpoint, bun, 1024, 0, 49.74, 4.40464917
pinpoint, bun, 1024, 0, 63.34, 4.54049597
pinpoint, bun, 1024, 0, 67.47, 4.49457806
pinpoint, bun, 1024, 0.620000000000005, 79.93, 4.53898461
pinpoint, bun, 1024, 2.34, 65.68, 4.54085723
pinpoint, bun, 1024, 0.180000000000007, 61.75, 4.45563417
pinpoint, bun, 1024, 1.67, 58.68, 4.48076329
pinpoint, bun, 1024, 0.269999999999996, 55.34, 4.43359656
pinpoint, bun, 1024, 3.83, 66.03, 4.57931748
pinpoint, bun, 1024, 3.28, 67.98, 4.56082520
pinpoint, bun, 1024, 1.47, 60.16, 4.48926104
pinpoint, bun, 1024, 1.93000000000001, 63.01, 4.49221267
pinpoint, bun, 1024, 0, 68.22, 4.51496213
pinpoint, bun, 1024, 0, 53.83, 4.45566254
pinpoint, bun, 2048, 3.97, 185.01, 6.75700185
pinpoint, bun, 2048, 6.50999999999999, 192.05, 6.69732063
pinpoint, bun, 2048, 26.32, 167.59, 6.64599208
pinpoint, bun, 2048, 18.53, 182.97, 6.62134850
pinpoint, bun, 2048, 29.19, 178.41, 6.69953700
pinpoint, bun, 2048, 5.13999999999999, 173.78, 6.70582934
pinpoint, bun, 2048, 3.66, 159.21, 6.83623367
pinpoint, bun, 2048, 10.08, 202.84, 6.81874471
pinpoint, bun, 2048, 16.2, 207.8, 6.93930793
pinpoint, bun, 2048, 39.98, 217.83, 6.94580703
pinpoint, bun, 2048, 14.68, 197.6, 6.70645604
pinpoint, bun, 2048, 7.77000000000001, 201.23, 6.70395505
pinpoint, bun, 2048, 16.35, 254.6, 7.03731750
pinpoint, bun, 2048, 0, 165.39, 6.67310802
pinpoint, bun, 2048, 0, 149.19, 6.52565559
pinpoint, bun, 4096, 0, 53.37, 11.38079219
pinpoint, bun, 4096, 0, 127.78, 11.66547636
pinpoint, bun, 4096, 43.06, 290.22, 14.44531188
pinpoint, bun, 4096, 0, 134.75, 11.67368675
pinpoint, bun, 4096, 0, 121.36, 11.57674464
pinpoint, bun, 4096, 0, 57.53, 11.37373656
pinpoint, bun, 4096, 0, 131.55, 11.71522659
pinpoint, bun, 4096, 0, 123.17, 11.54390096
pinpoint, bun, 4096, 0, 128.81, 11.47705317
pinpoint, bun, 4096, 0, 111.89, 11.72598648
pinpoint, bun, 4096, 0, 139.11, 11.69791166
pinpoint, bun, 4096, 0, 57.5599999999999, 11.58986362
pinpoint, bun, 4096, 0, 92.1799999999999, 11.63115704
pinpoint, bun, 4096, 0, 78.1, 11.54266920
pinpoint, bun, 4096, 0, 93.03, 11.73122607
pinpoint, deno, 1024, 24.93, 233.92, 12.88413657
pinpoint, deno, 1024, 0, 198.41, 12.62250046
pinpoint, deno, 1024, 16.87, 188.69, 12.76779729
pinpoint, deno, 1024, 0, 204.21, 12.74333752
pinpoint, deno, 1024, 0, 223.18, 12.75494820
pinpoint, deno, 1024, 0, 235.02, 12.98436770
pinpoint, deno, 1024, 20.5, 190.98, 12.74374575
pinpoint, deno, 1024, 0, 150.25, 12.48785778
pinpoint, deno, 1024, 16.01, 199.28, 12.83456981
pinpoint, deno, 1024, 0, 185.73, 12.81280899
pinpoint, deno, 1024, 0, 174.89, 12.63606214
pinpoint, deno, 1024, 11.26, 335.65, 13.37687208
pinpoint, deno, 1024, 17.79, 323.06, 13.24458415
pinpoint, deno, 1024, 9.06, 259.89, 12.98605272
pinpoint, deno, 1024, 5.98000000000002, 235.59, 12.97902055
pinpoint, deno, 2048, 9.65000000000003, 477.26, 14.51039515
pinpoint, deno, 2048, 27.98, 410.84, 15.34477736
pinpoint, deno, 2048, 37.94, 596.41, 15.96027445
pinpoint, deno, 2048, 9.58000000000004, 625.38, 15.10746655
pinpoint, deno, 2048, 0, 344.25, 13.13279490
pinpoint, deno, 2048, 1.79000000000002, 370.49, 14.81908984
pinpoint, deno, 2048, 0, 268.47, 13.01174484
pinpoint, deno, 2048, 0, 344.67, 13.93782013
pinpoint, deno, 2048, 46.65, 649.44, 16.45877453
