Tool,VM,size,GPU,PKG,seconds
pinpoint, deno, 1024, 0, 450.39, 12.17908345
pinpoint, deno, 1024, 0, 460.39, 12.18045389
pinpoint, deno, 1024, 0, 439.49, 12.14520903
pinpoint, deno, 1024, 0, 446.76, 12.27575312
pinpoint, deno, 1024, 0, 430.72, 11.99753103
pinpoint, deno, 1024, 0, 430.2, 12.30025053
pinpoint, deno, 1024, 0.210000000000008, 431.33, 12.28860351
pinpoint, deno, 1024, 0, 446.48, 12.25468286
pinpoint, deno, 1024, 0, 460.1, 12.18194205
pinpoint, deno, 1024, 0, 422.21, 12.26532685
pinpoint, deno, 1024, 6.54999999999998, 484.09, 12.73044988
pinpoint, deno, 2048, 0, 514.03, 10.94529301
pinpoint, deno, 2048, 0, 404.19, 8.66657981
pinpoint, deno, 2048, 0, 441.04, 9.37612328
pinpoint, deno, 2048, 0, 484.09, 10.89721353
pinpoint, deno, 2048, 0, 497.93, 10.78353225
pinpoint, deno, 2048, 0, 447.62, 10.10612176
pinpoint, deno, 2048, 0, 467.6, 10.40630131
pinpoint, deno, 2048, 0, 538.47, 11.15778015
pinpoint, deno, 2048, 6.54999999999998, 502.67, 10.79522194
pinpoint, deno, 2048, 17.14, 575.04, 11.32071414
pinpoint, deno, 2048, 0, 476.2, 10.30125015
pinpoint, deno, 2048, 12.72, 504.83, 11.13264139
pinpoint, deno, 2048, 12.98, 472.15, 11.09138541
pinpoint, deno, 2048, 2.80999999999997, 482.34, 10.63529629
pinpoint, deno, 2048, 13.82, 477.57, 11.22146310
pinpoint, deno, 4096, 60.61, 391.14, 9.59922400
pinpoint, deno, 4096, 46.58, 376.72, 8.87444737
pinpoint, deno, 4096, 63.16, 403.33, 9.65250345
pinpoint, deno, 4096, 77.9, 442.51, 10.34382735
pinpoint, deno, 4096, 50.57, 377.5, 9.09459476
pinpoint, deno, 4096, 59.86, 407.38, 9.56799657
pinpoint, deno, 4096, 70.22, 427.51, 9.98451464
pinpoint, deno, 4096, 54.99, 382.64, 9.26427146
pinpoint, deno, 4096, 67.1, 412.44, 9.84694392
pinpoint, deno, 4096, 57.99, 386.26, 9.40622030
pinpoint, deno, 4096, 65.74, 427.34, 9.78120201
pinpoint, deno, 4096, 62.28, 416.38, 9.65383472
pinpoint, deno, 4096, 63.66, 402.86, 9.71516088
pinpoint, deno, 4096, 61.68, 377.06, 9.61773920
pinpoint, deno, 4096, 26.03, 406.42, 9.61334132
