Tool,size,CORE,PKG,seconds
pinpoint, 1024, 0, 0, 3.02202
pinpoint, 1024, 0, 0, 3.0629
pinpoint, 1024, 0, 0, 2.99454
pinpoint, 1024, 0, 0, 3.03377
pinpoint, 1024, 0, 0, 3.04912
pinpoint, 1024, 0, 0, 3.04862
pinpoint, 1024, 0, 0, 3.03994
pinpoint, 1024, 0, 0, 3.04701
pinpoint, 1024, 0, 0, 3.04035
pinpoint, 1024, 0, 0, 3.03122
pinpoint, 1024, 0, 0, 3.12376
pinpoint, 1024, 5.38460000000001, 0, 3.17747
pinpoint, 1024, 16.1723, 0, 3.32323
pinpoint, 1024, 10.6073, 0, 3.14371
pinpoint, 1024, 10.1695, 0, 3.22108
pinpoint, 1024, 6.0723, 0, 3.16278
pinpoint, 2048, 0, 0, 9.19402
pinpoint, 2048, 0, 0, 9.20959
pinpoint, 2048, 0, 0, 9.1868
pinpoint, 2048, 0, 0, 9.18283
pinpoint, 2048, 0, 0, 9.15799
pinpoint, 2048, 0, 0, 9.24343
pinpoint, 2048, 39.133, 5.31100000000004, 9.36863
pinpoint, 2048, 122.406, 106.718, 9.67688
pinpoint, 2048, 99.674, 76.833, 9.68182
pinpoint, 2048, 57.543, 29.5700000000001, 9.51476
pinpoint, 2048, 4.47999999999999, 0, 9.22826
pinpoint, 2048, 0, 0, 9.19193
pinpoint, 2048, 26.913, 0, 9.3727
pinpoint, 2048, 0, 0, 9.29567
pinpoint, 2048, 0, 0, 9.17353
pinpoint, 2048, 0, 0, 9.15584
pinpoint, 4096, 354.594, 394.36, 33.6863
pinpoint, 4096, 277.041, 303.86, 33.6389
pinpoint, 4096, 240.622, 252.48, 33.333
pinpoint, 4096, 237.135, 242.96, 33.3068
pinpoint, 4096, 146.71, 126.19, 32.8106
pinpoint, 4096, 186.737, 177.73, 32.9762
pinpoint, 4096, 141.092, 118.21, 32.8191
pinpoint, 4096, 157.254, 137.06, 32.8235
pinpoint, 4096, 143.934, 124.37, 32.7485
pinpoint, 4096, 137.481, 119.19, 32.7562
pinpoint, 4096, 139.905, 117.79, 32.7593
pinpoint, 4096, 143.294, 125.22, 32.8366
pinpoint, 4096, 142.954, 118.84, 32.8311
pinpoint, 4096, 143.812, 122.43, 32.8151
pinpoint, 4096, 230.226, 242.03, 33.4402
pinpoint, 4096, 179.134, 163.39, 32.9924
