Tool,VM,size,RAM,ECPU,PCPU,seconds
pinpoint, bun, 1024, 1.03, 0.29, 18.8, 
pinpoint, bun, 1024, 1.03, 0.31, 18.93, 
pinpoint, bun, 1024, 1.02, 0.31, 18.74, 
pinpoint, bun, 1024, 1.06, 0.3, 19.28, 
pinpoint, bun, 1024, 1.04, 0.3, 19.39, 
pinpoint, bun, 1024, 1.02, 0.29, 18.83, 
pinpoint, bun, 1024, 1.04, 0.28, 18.83, 
pinpoint, bun, 1024, 1.04, 0.3, 19.42, 
pinpoint, bun, 1024, 1.04, 0.31, 19.46, 
pinpoint, bun, 1024, 1.02, 0.27, 18.93, 
pinpoint, bun, 2048, 1.6, 0.56, 29.53, 
pinpoint, bun, 2048, 1.53, 0.59, 29.88, 
pinpoint, bun, 2048, 1.52, 0.54, 29.22, 
pinpoint, bun, 2048, 1.54, 0.57, 30.5, 
pinpoint, bun, 2048, 1.51, 0.56, 29.41, 
pinpoint, bun, 2048, 1.5, 0.59, 29.14, 
pinpoint, bun, 2048, 1.56, 0.58, 30.25, 
pinpoint, bun, 2048, 1.49, 0.54, 29.2, 
pinpoint, bun, 2048, 1.51, 0.56, 29.28, 
pinpoint, bun, 2048, 1.54, 0.58, 30.51, 
pinpoint, bun, 2048, 1.51, 0.56, 29.51, 
pinpoint, bun, 2048, 1.52, 0.57, 29.25, 
pinpoint, bun, 2048, 1.52, 0.57, 29.83, 
pinpoint, bun, 2048, 1.53, 0.6, 29.3, 
pinpoint, bun, 2048, 1.54, 0.56, 30.62, 
pinpoint, bun, 4096, 4.68, 2.26, 58.24, 
pinpoint, bun, 4096, 3.23, 1.38, 52.95, 
pinpoint, bun, 4096, 3.28, 1.45, 52.56, 
pinpoint, bun, 4096, 3.2, 1.4, 52.45, 
pinpoint, bun, 4096, 3.18, 1.38, 53.37, 
pinpoint, bun, 4096, 3.43, 1.62, 53.25, 
pinpoint, bun, 4096, 3.47, 1.61, 53.74, 
pinpoint, bun, 4096, 3.18, 1.35, 52.93, 
pinpoint, bun, 4096, 3.16, 1.38, 52.05, 
pinpoint, bun, 4096, 3.33, 1.54, 53.31, 
pinpoint, bun, 4096, 3.32, 1.44, 53.94, 
pinpoint, bun, 4096, 3.68, 1.68, 55.26, 
pinpoint, bun, 4096, 3.34, 1.51, 53.19, 
pinpoint, bun, 4096, 3.24, 1.45, 52.48, 
pinpoint, bun, 4096, 3.25, 1.45, 52.88, 
pinpoint, deno, 1024, 2.68, 0.86, 43.54, 
pinpoint, deno, 1024, 2.68, 0.79, 44.44, 
pinpoint, deno, 1024, 2.65, 0.81, 43.16, 
pinpoint, deno, 1024, 2.69, 1.11, 44.59, 
pinpoint, deno, 1024, 2.74, 1.38, 43.57, 
pinpoint, deno, 1024, 2.67, 1, 43.87, 
pinpoint, deno, 1024, 2.66, 0.89, 43.74, 
pinpoint, deno, 1024, 2.66, 0.85, 43.27, 
pinpoint, deno, 1024, 2.9, 0.97, 48.99, 
pinpoint, deno, 1024, 2.62, 0.78, 43.42, 
pinpoint, deno, 1024, 2.69, 0.75, 44.43, 
pinpoint, deno, 1024, 2.66, 0.73, 43.55, 
pinpoint, deno, 1024, 2.66, 0.81, 44.55, 
pinpoint, deno, 1024, 2.65, 0.76, 43.11, 
pinpoint, deno, 1024, 2.69, 0.71, 45.01, 
pinpoint, deno, 2048, 2.64, 1.27, 62.49, 
pinpoint, deno, 2048, 2.73, 1.31, 62.07, 
pinpoint, deno, 2048, 2.54, 1.57, 63.76, 
pinpoint, deno, 2048, 2.58, 1.16, 63.36, 
pinpoint, deno, 2048, 2.74, 1.55, 64.64, 
pinpoint, deno, 2048, 2.73, 1.6, 65.51, 
pinpoint, deno, 2048, 2.59, 1.63, 63.81, 
pinpoint, deno, 2048, 2.73, 1.07, 60.78, 
pinpoint, deno, 2048, 2.68, 1.16, 63.51, 
pinpoint, deno, 2048, 2.64, 1.49, 62.9, 
pinpoint, deno, 2048, 2.65, 1.24, 62.4, 
pinpoint, deno, 2048, 2.62, 1.39, 63.53, 
pinpoint, deno, 2048, 2.67, 1.04, 62.13, 
pinpoint, deno, 2048, 2.77, 0.93, 61.19, 
pinpoint, deno, 2048, 2.53, 1.78, 64.37, 
pinpoint, deno, 4096, 2.26, 1.01, 53.13, 
pinpoint, deno, 4096, 2.21, 0.75, 52.57, 
pinpoint, deno, 4096, 2.25, 0.75, 53.52, 
pinpoint, deno, 4096, 2.14, 1.11, 54.1, 
pinpoint, deno, 4096, 2.28, 0.58, 52.73, 
pinpoint, deno, 4096, 2.22, 0.51, 52.87, 
pinpoint, deno, 4096, 2.37, 1.15, 60.52, 
pinpoint, deno, 4096, 2.18, 0.9, 53.87, 
pinpoint, deno, 4096, 2.25, 1.1, 54.64, 
pinpoint, deno, 4096, 2.26, 0.55, 52.17, 
pinpoint, deno, 4096, 2.44, 0.96, 58.26, 
pinpoint, deno, 4096, 2.16, 1.07, 54.71, 
pinpoint, deno, 4096, 2.18, 0.87, 53.14, 
pinpoint, deno, 4096, 2.21, 0.81, 53.98, 
pinpoint, deno, 4096, 2.22, 0.85, 53.47, 
