Tool,VM,size,RAM,ECPU,PCPU,seconds
pinpoint, node, 1024, 2.07, 0.04, 28.24, 
pinpoint, node, 1024, 2.01, 0, 27.08, 
pinpoint, node, 1024, 2.04, 0, 27.29, 
pinpoint, node, 1024, 2.04, 0, 27.62, 
pinpoint, node, 1024, 2.05, 0, 27.53, 
pinpoint, node, 1024, 2.15, 0.08, 28.3, 
pinpoint, node, 1024, 2.01, 0, 26.86, 
pinpoint, node, 1024, 2.07, 0.03, 28.23, 
pinpoint, node, 1024, 2.03, 0, 26.99, 
pinpoint, node, 1024, 2.04, 0, 27.86, 
pinpoint, node, 1024, 2.03, 0.02, 27.3, 
pinpoint, node, 1024, 2.05, 0, 27.88, 
pinpoint, node, 1024, 2.03, 0.00999999999999998, 27.13, 
pinpoint, node, 1024, 2.07, 0.03, 28.42, 
pinpoint, node, 1024, 2.04, 0.04, 27.41, 
pinpoint, node, 2048, 3.77, 0.38, 58.72, 
pinpoint, node, 2048, 3.74, 0.3, 58.47, 
pinpoint, node, 2048, 3.8, 0.28, 58.92, 
pinpoint, node, 2048, 3.79, 0.43, 58.19, 
pinpoint, node, 2048, 3.86, 0.73, 58.54, 
pinpoint, node, 2048, 3.82, 0.32, 59.21, 
pinpoint, node, 2048, 3.8, 0.25, 58.45, 
pinpoint, node, 2048, 3.82, 0.32, 59.76, 
pinpoint, node, 2048, 3.82, 0.39, 59.06, 
pinpoint, node, 2048, 3.81, 0.27, 59.2, 
pinpoint, node, 2048, 3.78, 0.32, 59.02, 
pinpoint, node, 2048, 3.8, 0.31, 59.62, 
pinpoint, node, 2048, 3.82, 0.4, 61.13, 
pinpoint, node, 2048, 3.81, 0.5, 58.76, 
pinpoint, node, 2048, 3.82, 0.3, 59.56, 
pinpoint, node, 4096, 9.76, 2.38, 236.93, 
pinpoint, node, 4096, 8.84, 2.76, 230.34, 
pinpoint, node, 4096, 9.32, 3.25, 252.69, 
pinpoint, node, 4096, 9.18, 2.34, 221.13, 
pinpoint, node, 4096, 9.32, 3.45, 252.73, 
pinpoint, node, 4096, 9.87, 3.07, 243.83, 
pinpoint, node, 4096, 9.36, 3.55, 253, 
pinpoint, node, 4096, 9.3, 3.59, 251.02, 
pinpoint, node, 4096, 9.89, 3.05, 251.24, 
pinpoint, node, 4096, 8.91, 3.05, 233.77, 
pinpoint, node, 4096, 9.48, 3.49, 258.7, 
pinpoint, node, 4096, 9.11, 2.83, 225.29, 
pinpoint, node, 4096, 9.35, 3.59, 254.71, 
pinpoint, node, 4096, 9.22, 3.26, 225.05, 
pinpoint, node, 4096, 8.68, 3.43, 239.21, 
pinpoint, bun, 1024, 1.04, 0.3, 19.41, 
pinpoint, bun, 1024, 1.03, 0.29, 18.83, 
pinpoint, bun, 1024, 1.01, 0.27, 18.6, 
pinpoint, bun, 1024, 1.04, 0.3, 18.86, 
pinpoint, bun, 1024, 1.06, 0.32, 19.98, 
