Platform,size,GPU,PKG,seconds
evostar-zig-ops, 512, 7.28, 15.42, 0.33283460
evostar-zig-ops, 512, 7.12, 16.31, 0.31919982
evostar-zig-ops, 512, 7.17, 16.37, 0.32036404
evostar-zig-ops, 512, 7.24, 17.55, 0.32799832
evostar-zig-ops, 512, 7.24, 17.72, 0.32676756
evostar-zig-ops, 512, 7.22, 17.67, 0.32843581
evostar-zig-ops, 512, 7.18, 17.32, 0.32557779
evostar-zig-ops, 512, 6.14, 14.05, 0.29882626
evostar-zig-ops, 512, 7.06, 15.99, 0.32579105
evostar-zig-ops, 512, 7.19, 17.34, 0.32710426
evostar-zig-ops, 512, 7.21, 16.28, 0.32838178
evostar-zig-ops, 512, 7.19, 15.90, 0.32746474
evostar-zig-ops, 512, 7.20, 16.38, 0.32081517
evostar-zig-ops, 512, 7.24, 16.39, 0.32224366
evostar-zig-ops, 512, 7.26, 16.45, 0.32873855
evostar-zig-ops, 1024, 9.27, 23.31, 0.43614345
evostar-zig-ops, 1024, 9.18, 23.31, 0.43575676
evostar-zig-ops, 1024, 9.20, 24.16, 0.43537709
evostar-zig-ops, 1024, 9.46, 24.72, 0.43709295
evostar-zig-ops, 1024, 9.77, 24.97, 0.43836633
evostar-zig-ops, 1024, 12.21, 28.27, 0.43719853
evostar-zig-ops, 1024, 17.11, 28.82, 0.41075343
evostar-zig-ops, 1024, 16.70, 26.42, 0.43833932
evostar-zig-ops, 1024, 16.50, 26.20, 0.43461368
evostar-zig-ops, 1024, 13.74, 24.31, 0.43303062
evostar-zig-ops, 1024, 10.03, 22.06, 0.42976895
evostar-zig-ops, 1024, 9.88, 22.24, 0.42393402
evostar-zig-ops, 1024, 9.78, 23.32, 0.43473833
evostar-zig-ops, 1024, 9.30, 20.74, 0.43399498
evostar-zig-ops, 1024, 9.26, 21.44, 0.42420217
evostar-zig-ops, 2048, 13.61, 30.39, 0.63441923
evostar-zig-ops, 2048, 13.94, 33.83, 0.62708736
evostar-zig-ops, 2048, 13.48, 31.22, 0.63222489
evostar-zig-ops, 2048, 13.45, 30.25, 0.61546211
evostar-zig-ops, 2048, 13.38, 28.91, 0.62961310
evostar-zig-ops, 2048, 13.22, 29.91, 0.61925998
evostar-zig-ops, 2048, 13.29, 30.05, 0.61941114
evostar-zig-ops, 2048, 13.37, 31.03, 0.61498866
evostar-zig-ops, 2048, 13.74, 33.23, 0.64206280
evostar-zig-ops, 2048, 13.40, 35.66, 0.62367671
evostar-zig-ops, 2048, 13.86, 34.50, 0.64032338
evostar-zig-ops, 2048, 13.88, 35.40, 0.62981346
evostar-zig-ops, 2048, 13.62, 33.02, 0.63240326
evostar-zig-ops, 2048, 13.47, 30.91, 0.63557762
evostar-zig-ops, 2048, 13.43, 30.26, 0.62201615
