Prefix,size,RAM,ECPU,PCPU,seconds
evostar-zig-mac-bool-ops-nx-noalloc, 512, 0.09, 0.08, 0.44, 0.63946458
evostar-zig-mac-bool-ops-nx-noalloc, 512, 0.07, 0.03, 0.52, 0.16640025
evostar-zig-mac-bool-ops-nx-noalloc, 512, 0.07, 0.01, 0.49, 0.16768054
evostar-zig-mac-bool-ops-nx-noalloc, 512, 0.07, 0.02, 0.49, 0.16744187
evostar-zig-mac-bool-ops-nx-noalloc, 512, 0.07, 0.01, 0.49, 0.16854329
evostar-zig-mac-bool-ops-nx-noalloc, 512, 0.07, 0.03, 0.46, 0.17234467
evostar-zig-mac-bool-ops-nx-noalloc, 512, 0.08, 0.03, 0.47, 0.17119800
evostar-zig-mac-bool-ops-nx-noalloc, 512, 0.07, 0.02, 0.49, 0.16898408
evostar-zig-mac-bool-ops-nx-noalloc, 512, 0.07, 0.02, 0.47, 0.17110242
evostar-zig-mac-bool-ops-nx-noalloc, 512, 0.08, 0.03, 0.52, 0.17009142
evostar-zig-mac-bool-ops-nx-noalloc, 512, 0.07, 0.02, 0.47, 0.17263500
evostar-zig-mac-bool-ops-nx-noalloc, 512, 0.07, 0.02, 0.49, 0.16810417
evostar-zig-mac-bool-ops-nx-noalloc, 512, 0.08, 0.13, 0.47, 0.17645163
evostar-zig-mac-bool-ops-nx-noalloc, 512, 0.07, 0.02, 0.48, 0.17285858
evostar-zig-mac-bool-ops-nx-noalloc, 512, 0.07, 0.02, 0.47, 0.17457504
evostar-zig-mac-bool-ops-nx-noalloc, 1024, 0.08, 0.14, 0.52, 0.20298733
evostar-zig-mac-bool-ops-nx-noalloc, 1024, 0.07, 0.02, 0.52, 0.19823513
evostar-zig-mac-bool-ops-nx-noalloc, 1024, 0.07, 0.02, 0.53, 0.20272754
evostar-zig-mac-bool-ops-nx-noalloc, 1024, 0.07, 0.02, 0.52, 0.19855792
evostar-zig-mac-bool-ops-nx-noalloc, 1024, 0.07, 0.02, 0.52, 0.20274446
evostar-zig-mac-bool-ops-nx-noalloc, 1024, 0.07, 0.02, 0.52, 0.20039287
evostar-zig-mac-bool-ops-nx-noalloc, 1024, 0.07, 0.01, 0.50, 0.20125467
evostar-zig-mac-bool-ops-nx-noalloc, 1024, 0.07, 0.02, 0.52, 0.19861342
evostar-zig-mac-bool-ops-nx-noalloc, 1024, 0.07, 0.02, 0.54, 0.20523871
evostar-zig-mac-bool-ops-nx-noalloc, 1024, 0.07, 0.01, 0.52, 0.19822529
evostar-zig-mac-bool-ops-nx-noalloc, 1024, 0.07, 0.01, 0.50, 0.19907250
evostar-zig-mac-bool-ops-nx-noalloc, 1024, 0.07, 0.03, 0.54, 0.20340596
evostar-zig-mac-bool-ops-nx-noalloc, 1024, 0.07, 0.02, 0.52, 0.20038192
evostar-zig-mac-bool-ops-nx-noalloc, 1024, 0.07, 0.01, 0.50, 0.20320971
evostar-zig-mac-bool-ops-nx-noalloc, 1024, 0.07, 0.01, 0.52, 0.21047604
evostar-zig-mac-bool-ops-nx-noalloc, 2048, 0.11, 0.04, 0.80, 0.27933238
evostar-zig-mac-bool-ops-nx-noalloc, 2048, 0.11, 0.05, 0.81, 0.28514821
evostar-zig-mac-bool-ops-nx-noalloc, 2048, 0.08, 0.02, 0.70, 0.26346383
evostar-zig-mac-bool-ops-nx-noalloc, 2048, 0.11, 0.05, 0.84, 0.28085521
evostar-zig-mac-bool-ops-nx-noalloc, 2048, 0.10, 0.03, 0.78, 0.29022458
evostar-zig-mac-bool-ops-nx-noalloc, 2048, 0.10, 0.03, 0.81, 0.27368000
evostar-zig-mac-bool-ops-nx-noalloc, 2048, 0.11, 0.03, 0.80, 0.28273304
evostar-zig-mac-bool-ops-nx-noalloc, 2048, 0.08, 0.02, 0.71, 0.27450050
evostar-zig-mac-bool-ops-nx-noalloc, 2048, 0.11, 0.06, 0.80, 0.28752375
evostar-zig-mac-bool-ops-nx-noalloc, 2048, 0.10, 0.03, 0.79, 0.28133550
evostar-zig-mac-bool-ops-nx-noalloc, 2048, 0.11, 0.06, 1.00, 0.27656383
evostar-zig-mac-bool-ops-nx-noalloc, 2048, 0.08, 0.02, 0.71, 0.26851292
evostar-zig-mac-bool-ops-nx-noalloc, 2048, 0.10, 0.04, 0.83, 0.27139708
evostar-zig-mac-bool-ops-nx-noalloc, 2048, 0.11, 0.04, 0.79, 0.28510713
evostar-zig-mac-bool-ops-nx-noalloc, 2048, 0.08, 0.02, 0.73, 0.26744483
