Platform,size,GPU,PKG,seconds
lion-zig-gen, 512, 29.20, 83.01, 1.41078115
lion-zig-gen, 512, 28.08, 75.92, 1.39611654
lion-zig-gen, 512, 27.97, 74.15, 1.37799114
lion-zig-gen, 512, 28.92, 81.16, 1.40281047
lion-zig-gen, 512, 27.84, 73.29, 1.39533986
lion-zig-gen, 512, 28.92, 81.77, 1.41757290
lion-zig-gen, 512, 28.94, 81.98, 1.39643312
lion-zig-gen, 512, 30.03, 90.28, 1.38694530
lion-zig-gen, 512, 52.32, 92.13, 1.41988831
lion-zig-gen, 512, 39.67, 90.71, 1.41281242
lion-zig-gen, 512, 32.88, 94.74, 1.40525887
lion-zig-gen, 512, 30.52, 85.84, 1.39153125
lion-zig-gen, 512, 30.18, 84.26, 1.38602953
lion-zig-gen, 512, 29.37, 79.56, 1.37977197
lion-zig-gen, 512, 28.56, 72.94, 1.39299703
lion-zig-gen, 1024, 55.52, 153.05, 2.71312208
lion-zig-gen, 1024, 53.41, 142.17, 2.60458419
lion-zig-gen, 1024, 56.07, 154.08, 2.65290870
lion-zig-gen, 1024, 59.24, 172.04, 2.71990599
lion-zig-gen, 1024, 54.39, 138.61, 2.70281933
lion-zig-gen, 1024, 55.08, 139.09, 2.70004743
lion-zig-gen, 1024, 56.96, 147.62, 2.70637714
lion-zig-gen, 1024, 64.14, 161.60, 2.71858177
lion-zig-gen, 1024, 55.01, 142.52, 2.69414491
lion-zig-gen, 1024, 87.98, 177.43, 2.70798064
lion-zig-gen, 1024, 56.21, 148.73, 2.66869639
lion-zig-gen, 1024, 56.78, 153.84, 2.65257246
lion-zig-gen, 1024, 59.58, 162.54, 2.73201671
lion-zig-gen, 1024, 55.14, 141.80, 2.69620578
lion-zig-gen, 1024, 57.58, 168.96, 2.73247024
lion-zig-gen, 2048, 107.84, 277.90, 5.30200723
lion-zig-gen, 2048, 105.41, 291.30, 5.17797342
lion-zig-gen, 2048, 112.49, 312.02, 5.25009506
lion-zig-gen, 2048, 106.63, 287.91, 5.16640758
lion-zig-gen, 2048, 141.47, 306.93, 5.27187140
lion-zig-gen, 2048, 105.82, 292.92, 5.17500349
lion-zig-gen, 2048, 118.89, 317.05, 5.25170141
lion-zig-gen, 2048, 109.57, 326.69, 5.27646381
lion-zig-gen, 2048, 107.44, 281.49, 5.30128958
lion-zig-gen, 2048, 106.17, 283.67, 5.18101498
lion-zig-gen, 2048, 117.07, 337.34, 5.33842039
lion-zig-gen, 2048, 108.47, 299.47, 5.26594174
lion-zig-gen, 2048, 110.37, 297.61, 5.27190227
lion-zig-gen, 2048, 112.37, 315.14, 5.23065490
lion-zig-gen, 2048, 115.13, 323.79, 5.16807293
