Tool,size,CORE,PKG,seconds
pinpoint, 1024, 7.6042, -30.7, 3.00304
pinpoint, 1024, 8.1025, -29.498, 3.02183
pinpoint, 1024, 10.2865, -26.757, 3.02098
pinpoint, 1024, 8.3138, -29.047, 3.00549
pinpoint, 1024, 7.3582, -30.475, 3.00513
pinpoint, 1024, 7.7566, -29.871, 3.0239
pinpoint, 1024, 7.8315, -29.439, 3.03591
pinpoint, 1024, 7.8482, -29.737, 3.02355
pinpoint, 1024, 7.80869999999999, -30.202, 3.02048
pinpoint, 1024, 8.02529999999999, -30.294, 3.0033
pinpoint, 1024, 7.7643, -29.822, 3.0204
pinpoint, 1024, 7.7867, -30.035, 3.00588
pinpoint, 1024, 8.1279, -29.368, 3.02598
pinpoint, 1024, 28.1176, -0.356999999999999, 3.06207
pinpoint, 1024, 60.1147, 43.025, 3.25891
pinpoint, 1024, 26.9801, -5.31200000000001, 3.05643
pinpoint, 2048, 49.538, 13.303, 9.22019
pinpoint, 2048, 76.339, 47.268, 9.3184
pinpoint, 2048, 72.343, 39.367, 9.28369
pinpoint, 2048, 66.49, 31.902, 9.24886
pinpoint, 2048, 45.07, 3.68899999999996, 9.19878
pinpoint, 2048, 93.028, 69.629, 9.33759
pinpoint, 2048, 125.937, 97.257, 9.47192
pinpoint, 2048, 179.321, 176.773, 9.60006
pinpoint, 2048, 167.1, 163.106, 9.45583
pinpoint, 2048, 160.364, 153.738, 9.54021
pinpoint, 2048, 159.452, 154.839, 9.55877
pinpoint, 2048, 153.265, 149.488, 9.4571
pinpoint, 2048, 156.065, 150.669, 9.53206
pinpoint, 2048, 163.09, 155.647, 9.44989
pinpoint, 2048, 171.459, 162.744, 9.62447
pinpoint, 2048, 104.66, 85.368, 9.39849
pinpoint, 4096, 980.8391, 1699.101, 34.3208
pinpoint, 4096, 972.3191, 1682.111, 34.579
pinpoint, 4096, 803.8201, 1451.051, 33.5968
pinpoint, 4096, 723.0061, 1346.331, 33.5409
pinpoint, 4096, 672.2351, 1278.851, 33.2384
pinpoint, 4096, 380.2421, 902.561, 32.327
pinpoint, 4096, 374.6511, 895.521, 32.3375
pinpoint, 4096, 377.1501, 901.681, 32.3366
pinpoint, 4096, 430.2081, 982.531, 32.4762
pinpoint, 4096, 384.4761, 915.601, 32.364
pinpoint, 4096, 457.7111, 1042.701, 32.9006
pinpoint, 4096, 384.8801, 909.531, 32.3358
pinpoint, 4096, 416.9211, 944.091, 32.4066
pinpoint, 4096, 429.4731, 967.991, 32.4169
pinpoint, 4096, 379.8451, 904.511, 32.2782
pinpoint, 4096, 417.3751, 960.841, 32.4184
