Tool,VM,size,RAM,ECPU,PCPU,seconds
pinpoint, node, 1024, 2.15, 0.13, 28.74, 7.06284425
pinpoint, node, 1024, 2.08, 0.05, 27.02, 6.99983621
pinpoint, node, 1024, 2.08, 0.06, 27.68, 7.00483308
pinpoint, node, 1024, 2.13, 0.2, 27.67, 6.99025867
pinpoint, node, 1024, 2.11, 0.09, 28.54, 7.03559983
pinpoint, node, 1024, 2.07, 0.03, 27.15, 6.98771592
pinpoint, node, 1024, 2.11, 0.18, 29.31, 7.00099408
pinpoint, node, 1024, 2.07, 0.07, 27.5, 7.00325246
pinpoint, node, 1024, 2.14, 0.09, 28.66, 7.06332725
pinpoint, node, 1024, 2.07, 0.06, 27.41, 6.99615783
pinpoint, node, 1024, 2.1, 0.08, 27.98, 7.04153917
pinpoint, node, 1024, 2.12, 0.18, 27.84, 7.06427896
pinpoint, node, 1024, 2.12, 0.13, 28.62, 7.00363721
pinpoint, node, 1024, 2.07, 0.07, 27.35, 6.96498642
pinpoint, node, 1024, 2.09, 0.05, 28.17, 7.04097058
pinpoint, node, 2048, 3.6, 0.22, 57.13, 12.85774383
pinpoint, node, 2048, 3.56, 0.2, 56.13, 12.87576688
pinpoint, node, 2048, 3.66, 0.26, 58.06, 12.85090117
pinpoint, node, 2048, 3.58, 0.14, 57.04, 12.87971275
pinpoint, node, 2048, 3.6, 0.17, 56.34, 12.92454108
pinpoint, node, 2048, 3.64, 0.18, 57.62, 12.92194308
pinpoint, node, 2048, 3.77, 0.82, 58.33, 12.94058579
pinpoint, node, 2048, 3.64, 0.15, 57.61, 12.94593838
pinpoint, node, 2048, 4.05, 2.5, 57.32, 12.99990608
pinpoint, node, 2048, 3.73, 0.46, 57.96, 12.92094758
pinpoint, node, 2048, 3.64, 0.25, 57.17, 12.89851446
pinpoint, node, 2048, 3.72, 0.29, 58.19, 12.97452850
pinpoint, node, 2048, 3.63, 0.18, 57.19, 12.89300383
pinpoint, node, 2048, 3.68, 0.28, 57.71, 12.96882329
pinpoint, node, 2048, 3.66, 0.22, 57.74, 13.01278721
