Tool,VM,size,RAM,ECPU,PCPU,seconds
pinpoint, node, 4096, 9.45, 3.21, 241.69, 29.69821492
pinpoint, node, 4096, 8.71, 2.77, 225.91, 27.85463012
pinpoint, node, 4096, 8.87, 2.81, 232.25, 28.26015667
pinpoint, node, 4096, 9.22, 2.52, 215.18, 30.38269388
pinpoint, node, 4096, 8.8, 3.16, 235.61, 27.37147433
pinpoint, node, 4096, 9.31, 3.07, 250.95, 29.04759421
pinpoint, node, 4096, 9.45, 3.02, 251.35, 29.47093579
pinpoint, node, 4096, 9.99, 3.13, 240.59, 32.28980962
pinpoint, node, 4096, 9.19, 4.2, 259.05, 27.88566242
pinpoint, node, 4096, 10.61, 4.75, 261.39, 30.86931679
pinpoint, node, 4096, 9.61, 3.47, 255.69, 29.68875092
pinpoint, node, 4096, 9.66, 3.2, 245.04, 30.69689517
pinpoint, node, 4096, 9.45, 4.26, 257.37, 28.76933083
pinpoint, node, 4096, 9.54, 3.62, 248.48, 30.09669408
pinpoint, node, 4096, 9.69, 3.54, 254.38, 30.01777683
pinpoint, bun, 1024, 0.97, 0.28, 17.84, 3.14320675
pinpoint, bun, 1024, 0.96, 0.26, 17.6, 3.08295700
pinpoint, bun, 1024, 0.98, 0.29, 18.12, 3.08185088
pinpoint, bun, 1024, 0.96, 0.27, 17.55, 3.08669092
pinpoint, bun, 1024, 0.95, 0.26, 17.45, 3.06275938
pinpoint, bun, 1024, 0.96, 0.28, 17.54, 3.09058971
pinpoint, bun, 1024, 0.95, 0.26, 17.58, 3.08548025
pinpoint, bun, 1024, 0.96, 0.27, 17.51, 3.05709738
pinpoint, bun, 1024, 0.96, 0.27, 17.41, 3.06302588
pinpoint, bun, 1024, 0.98, 0.3, 18.66, 3.08202637
pinpoint, bun, 1024, 0.95, 0.26, 17.44, 3.06226221
pinpoint, bun, 1024, 0.95, 0.29, 17.43, 3.07607688
pinpoint, bun, 1024, 0.98, 0.29, 18.2, 3.07993233
pinpoint, bun, 1024, 0.99, 0.35, 18.05, 3.10363367
pinpoint, bun, 1024, 0.97, 0.26, 17.63, 3.06962663
pinpoint, bun, 2048, 1.37, 0.53, 27.43, 4.75362721
pinpoint, bun, 2048, 1.34, 0.5, 27.41, 4.68334062
pinpoint, bun, 2048, 1.35, 0.52, 27.7, 4.66451479
pinpoint, bun, 2048, 1.35, 0.51, 27.4, 4.64537517
pinpoint, bun, 2048, 1.5, 1, 27.96, 4.71462625
pinpoint, bun, 2048, 1.48, 1.04, 27.97, 4.71504904
pinpoint, bun, 2048, 1.44, 1, 28.13, 4.66837567
pinpoint, bun, 2048, 1.37, 0.97, 27.86, 4.67889917
pinpoint, bun, 2048, 1.38, 0.93, 27.87, 4.65608787
pinpoint, bun, 2048, 1.46, 1.52, 27.83, 4.68622779
pinpoint, bun, 2048, 1.45, 1.08, 28.13, 4.70139446
pinpoint, bun, 2048, 1.33, 0.52, 27.47, 4.70038683
pinpoint, bun, 2048, 1.32, 0.47, 27.5, 4.69405625
pinpoint, bun, 2048, 1.33, 0.49, 27.48, 4.68718079
pinpoint, bun, 2048, 1.39, 0.61, 28.13, 4.67963292
pinpoint, bun, 4096, 3.25, 1.9, 55.74, 10.78697596
pinpoint, bun, 4096, 3.11, 1.59, 52.12, 10.87592383
pinpoint, bun, 4096, 3, 1.52, 51.81, 10.80125700
pinpoint, bun, 4096, 2.92, 1.6, 51.94, 10.57962525
pinpoint, bun, 4096, 2.83, 1.41, 52.53, 10.56096892
pinpoint, bun, 4096, 2.73, 1.41, 52.3, 10.37512283
pinpoint, bun, 4096, 2.75, 1.42, 52.73, 10.08970337
pinpoint, bun, 4096, 2.88, 1.51, 52.93, 10.45057350
pinpoint, bun, 4096, 2.81, 1.49, 52.24, 10.53064221
pinpoint, bun, 4096, 2.77, 1.57, 51.81, 10.42308783
pinpoint, bun, 4096, 3.03, 1.98, 54.85, 10.42635346
pinpoint, bun, 4096, 2.72, 1.44, 52.27, 10.35458288
pinpoint, bun, 4096, 2.59, 1.36, 51.25, 10.13252529
pinpoint, bun, 4096, 4.12, 2.67, 64.19, 10.74211558
pinpoint, bun, 4096, 3.67, 1.92, 53.06, 10.98048154
pinpoint, deno, 1024, 2.31, 0.79, 42.62, 7.82213925
pinpoint, deno, 1024, 2.29, 0.8, 42.5, 7.84592696
pinpoint, deno, 1024, 2.32, 0.8, 43.81, 7.76466187
pinpoint, deno, 1024, 2.26, 0.76, 42.35, 7.84796033
pinpoint, deno, 1024, 2.68, 1.24, 48.18, 8.42228187
pinpoint, deno, 1024, 2.43, 1, 43.15, 7.92893663
pinpoint, deno, 1024, 2.59, 1.1, 47.17, 8.32160067
pinpoint, deno, 1024, 2.39, 0.83, 43.28, 7.87664129
pinpoint, deno, 1024, 2.49, 0.98, 44.32, 8.03592504
pinpoint, deno, 1024, 2.36, 0.84, 44.27, 7.92400008
pinpoint, deno, 1024, 2.31, 0.96, 42.51, 7.79901537
pinpoint, deno, 1024, 2.31, 0.81, 43.56, 7.87338158
pinpoint, deno, 1024, 2.41, 0.95, 43.61, 7.91893096
pinpoint, deno, 1024, 2.5, 1.05, 48.02, 8.24436688
pinpoint, deno, 1024, 2.28, 0.76, 42.92, 7.84642833
pinpoint, deno, 2048, 3.08, 1.04, 64.9, 8.09774113
pinpoint, deno, 2048, 2.94, 1.16, 61.07, 7.84262112
pinpoint, deno, 2048, 3.11, 1.12, 63.94, 8.24249221
pinpoint, deno, 2048, 2.98, 1.27, 61.52, 7.83451362
pinpoint, deno, 2048, 3.16, 1.43, 64.28, 8.13157317
pinpoint, deno, 2048, 2.87, 1.31, 62.06, 7.67786983
pinpoint, deno, 2048, 2.91, 1.36, 63.5, 7.57119846
pinpoint, deno, 2048, 2.79, 1.61, 64.54, 7.12330242
pinpoint, deno, 2048, 2.92, 1.43, 64.04, 7.64630321
pinpoint, deno, 2048, 3.05, 1.08, 62.21, 7.93097621
pinpoint, deno, 2048, 3.03, 1.76, 65.96, 7.42643663
pinpoint, deno, 2048, 2.73, 1.59, 64.56, 7.38522917
pinpoint, deno, 2048, 2.74, 1.87, 68.91, 7.19479179
pinpoint, deno, 2048, 2.72, 1.3, 65.59, 7.71218033
pinpoint, deno, 2048, 2.52, 1.57, 65.29, 7.03323925
pinpoint, deno, 4096, 1.62, 0, 45.17, 7.02867733
pinpoint, deno, 4096, 1.71, 0.13, 50.09, 7.03422754
pinpoint, deno, 4096, 1.51, 0, 44.6, 6.61230342
pinpoint, deno, 4096, 1.58, 0, 46.55, 6.55694787
pinpoint, deno, 4096, 1.65, 0, 46.08, 6.80496529
pinpoint, deno, 4096, 1.69, 0, 47.77, 6.83078971
pinpoint, deno, 4096, 1.54, 0, 45.12, 6.66832837
pinpoint, deno, 4096, 1.66, 0.16, 49.1, 6.57661675
pinpoint, deno, 4096, 1.55, 0, 45.24, 6.63809758
pinpoint, deno, 4096, 1.52, 0, 45.65, 6.60275396
pinpoint, deno, 4096, 1.53, 0, 44.82, 6.76974179
pinpoint, deno, 4096, 1.78, 0.0399999999999998, 51.64, 7.17515517
pinpoint, deno, 4096, 1.71, 0.0799999999999998, 49.8, 7.01402571
pinpoint, deno, 4096, 1.66, 0, 45.13, 7.04631200
pinpoint, deno, 4096, 1.59, 0.0799999999999998, 45.36, 6.58079775
