Tool,VM,size,GPU,PKG,seconds
pinpoint, bun, 512, 84.97, 228.83, 3.43912238
pinpoint, bun, 512, 87.50, 236.52, 3.53438028
pinpoint, bun, 512, 88.84, 235.48, 3.58734374
pinpoint, bun, 512, 86.78, 238.14, 3.53861268
pinpoint, bun, 512, 88.49, 237.28, 3.59436770
pinpoint, bun, 512, 87.35, 226.68, 3.46609307
pinpoint, bun, 512, 80.93, 228.58, 3.53669608
pinpoint, bun, 512, 78.24, 224.50, 3.42709942
pinpoint, bun, 512, 81.74, 231.38, 3.57762195
pinpoint, bun, 512, 79.25, 229.69, 3.49155647
pinpoint, bun, 512, 79.65, 236.14, 3.49574163
pinpoint, bun, 512, 82.94, 239.27, 3.57277197
pinpoint, bun, 512, 82.45, 238.00, 3.50626822
pinpoint, bun, 512, 79.65, 233.27, 3.47553573
pinpoint, bun, 512, 77.32, 228.67, 3.40156333
pinpoint, bun, 1024, 110.16, 332.22, 4.81692158
pinpoint, bun, 1024, 108.98, 321.87, 4.65713440
pinpoint, bun, 1024, 109.12, 319.40, 4.71801290
pinpoint, bun, 1024, 110.71, 334.01, 4.74311013
pinpoint, bun, 1024, 111.23, 335.33, 4.74919983
pinpoint, bun, 1024, 110.37, 320.88, 4.68166338
pinpoint, bun, 1024, 108.17, 322.88, 4.65114206
pinpoint, bun, 1024, 112.71, 334.77, 4.78291046
pinpoint, bun, 1024, 109.91, 325.99, 4.70966629
pinpoint, bun, 1024, 111.31, 320.45, 4.84681461
pinpoint, bun, 1024, 107.67, 317.64, 4.71171003
pinpoint, bun, 1024, 111.88, 341.13, 4.70889061
pinpoint, bun, 1024, 112.26, 331.03, 4.77903251
pinpoint, bun, 1024, 113.28, 328.05, 4.82189056
pinpoint, bun, 1024, 109.91, 317.88, 4.71368832
pinpoint, bun, 2048, 166.11, 475.47, 7.22925667
pinpoint, bun, 2048, 165.85, 485.37, 7.29348909
pinpoint, bun, 2048, 167.77, 485.13, 7.24557408
pinpoint, bun, 2048, 165.46, 480.79, 7.20477136
pinpoint, bun, 2048, 168.25, 492.06, 7.27223629
pinpoint, bun, 2048, 165.83, 479.27, 7.24016265
pinpoint, bun, 2048, 166.76, 492.69, 7.22619069
pinpoint, bun, 2048, 166.62, 493.32, 7.25005367
pinpoint, bun, 2048, 168.10, 480.05, 7.35172550
pinpoint, bun, 2048, 168.07, 486.84, 7.36514348
pinpoint, bun, 2048, 166.94, 489.53, 7.32419119
pinpoint, bun, 2048, 167.94, 495.28, 7.32341620
pinpoint, bun, 2048, 165.28, 486.07, 7.23868858
pinpoint, bun, 2048, 163.57, 487.49, 7.07130483
pinpoint, bun, 2048, 167.44, 488.13, 7.27211231
