Prefix,size,RAM,ECPU,PCPU,seconds
evostar-zig-mac-ops-nx-noalloc, 512, 0.10, 0.03, 0.56, 0.54255946
evostar-zig-mac-ops-nx-noalloc, 512, 0.07, 0.00, 0.49, 0.16437400
evostar-zig-mac-ops-nx-noalloc, 512, 0.05, 0.00, 0.34, 0.16453246
evostar-zig-mac-ops-nx-noalloc, 512, 0.05, 0.00, 0.35, 0.16286487
evostar-zig-mac-ops-nx-noalloc, 512, 0.07, 0.00, 0.49, 0.16530454
evostar-zig-mac-ops-nx-noalloc, 512, 0.08, 0.03, 0.49, 0.16809446
evostar-zig-mac-ops-nx-noalloc, 512, 0.07, 0.01, 0.49, 0.16571037
evostar-zig-mac-ops-nx-noalloc, 512, 0.05, 0.00, 0.35, 0.16373817
evostar-zig-mac-ops-nx-noalloc, 512, 0.07, 0.00, 0.49, 0.16566317
evostar-zig-mac-ops-nx-noalloc, 512, 0.05, 0.00, 0.34, 0.16402329
evostar-zig-mac-ops-nx-noalloc, 512, 0.07, 0.00, 0.48, 0.16623458
evostar-zig-mac-ops-nx-noalloc, 512, 0.07, 0.00, 0.49, 0.16533079
evostar-zig-mac-ops-nx-noalloc, 512, 0.07, 0.00, 0.49, 0.16536838
evostar-zig-mac-ops-nx-noalloc, 512, 0.05, 0.00, 0.34, 0.16514221
evostar-zig-mac-ops-nx-noalloc, 512, 0.07, 0.01, 0.49, 0.16818458
evostar-zig-mac-ops-nx-noalloc, 1024, 0.07, 0.00, 0.53, 0.19267767
evostar-zig-mac-ops-nx-noalloc, 1024, 0.07, 0.00, 0.53, 0.19191133
evostar-zig-mac-ops-nx-noalloc, 1024, 0.07, 0.01, 0.55, 0.19106229
evostar-zig-mac-ops-nx-noalloc, 1024, 0.07, 0.00, 0.53, 0.19252325
evostar-zig-mac-ops-nx-noalloc, 1024, 0.07, 0.00, 0.53, 0.19279242
evostar-zig-mac-ops-nx-noalloc, 1024, 0.07, 0.00, 0.53, 0.19155825
evostar-zig-mac-ops-nx-noalloc, 1024, 0.07, 0.00, 0.53, 0.19079617
evostar-zig-mac-ops-nx-noalloc, 1024, 0.07, 0.00, 0.52, 0.19092754
evostar-zig-mac-ops-nx-noalloc, 1024, 0.07, 0.00, 0.53, 0.19208517
evostar-zig-mac-ops-nx-noalloc, 1024, 0.07, 0.00, 0.53, 0.19171567
evostar-zig-mac-ops-nx-noalloc, 1024, 0.07, 0.01, 0.56, 0.19404104
evostar-zig-mac-ops-nx-noalloc, 1024, 0.07, 0.00, 0.53, 0.19212146
evostar-zig-mac-ops-nx-noalloc, 1024, 0.07, 0.00, 0.53, 0.19183729
evostar-zig-mac-ops-nx-noalloc, 1024, 0.07, 0.01, 0.56, 0.19213846
evostar-zig-mac-ops-nx-noalloc, 1024, 0.07, 0.00, 0.53, 0.19160763
evostar-zig-mac-ops-nx-noalloc, 2048, 0.08, 0.00, 0.73, 0.24466208
evostar-zig-mac-ops-nx-noalloc, 2048, 0.08, 0.00, 0.73, 0.24436725
evostar-zig-mac-ops-nx-noalloc, 2048, 0.08, 0.00, 0.73, 0.24371479
evostar-zig-mac-ops-nx-noalloc, 2048, 0.08, 0.01, 0.75, 0.24382117
evostar-zig-mac-ops-nx-noalloc, 2048, 0.08, 0.00, 0.73, 0.24405383
evostar-zig-mac-ops-nx-noalloc, 2048, 0.08, 0.01, 0.74, 0.24638542
evostar-zig-mac-ops-nx-noalloc, 2048, 0.08, 0.00, 0.73, 0.24242942
evostar-zig-mac-ops-nx-noalloc, 2048, 0.08, 0.00, 0.73, 0.24467029
evostar-zig-mac-ops-nx-noalloc, 2048, 0.08, 0.00, 0.73, 0.24494454
evostar-zig-mac-ops-nx-noalloc, 2048, 0.08, 0.00, 0.73, 0.24400850
evostar-zig-mac-ops-nx-noalloc, 2048, 0.08, 0.01, 0.75, 0.24599750
evostar-zig-mac-ops-nx-noalloc, 2048, 0.08, 0.00, 0.72, 0.24493767
evostar-zig-mac-ops-nx-noalloc, 2048, 0.08, 0.00, 0.72, 0.24519712
evostar-zig-mac-ops-nx-noalloc, 2048, 0.08, 0.00, 0.72, 0.24580075
evostar-zig-mac-ops-nx-noalloc, 2048, 0.08, 0.00, 0.73, 0.24445975
