Platform,size,GPU,PKG,seconds
evostar-zig-gen, 512, 4.10, 7.89, 0.18698584
evostar-zig-gen, 512, 4.03, 8.47, 0.19092188
evostar-zig-gen, 512, 4.14, 8.94, 0.18515560
evostar-zig-gen, 512, 4.23, 8.69, 0.18648903
evostar-zig-gen, 512, 4.20, 8.41, 0.18736997
evostar-zig-gen, 512, 4.10, 8.75, 0.18742873
evostar-zig-gen, 512, 4.13, 8.76, 0.18658531
evostar-zig-gen, 512, 4.13, 8.74, 0.18628044
evostar-zig-gen, 512, 4.06, 8.46, 0.18562658
evostar-zig-gen, 512, 4.07, 8.79, 0.18714733
evostar-zig-gen, 512, 4.10, 8.74, 0.18674191
evostar-zig-gen, 512, 4.05, 8.35, 0.18707338
evostar-zig-gen, 512, 4.14, 8.25, 0.18777542
evostar-zig-gen, 512, 4.13, 8.56, 0.18786318
evostar-zig-gen, 512, 4.13, 8.31, 0.19233328
evostar-zig-gen, 1024, 6.11, 13.47, 0.28073402
evostar-zig-gen, 1024, 6.03, 13.09, 0.28772102
evostar-zig-gen, 1024, 6.08, 12.93, 0.28589417
evostar-zig-gen, 1024, 6.06, 12.64, 0.28672087
evostar-zig-gen, 1024, 6.17, 12.38, 0.28867424
evostar-zig-gen, 1024, 6.09, 12.56, 0.28783960
evostar-zig-gen, 1024, 6.15, 13.91, 0.28771144
evostar-zig-gen, 1024, 6.25, 13.87, 0.28823547
evostar-zig-gen, 1024, 6.22, 14.00, 0.28644946
evostar-zig-gen, 1024, 6.75, 16.88, 0.28541476
evostar-zig-gen, 1024, 10.91, 18.38, 0.29201590
evostar-zig-gen, 1024, 11.44, 16.77, 0.28747252
evostar-zig-gen, 1024, 11.17, 16.19, 0.28342002
evostar-zig-gen, 1024, 10.91, 14.16, 0.28903514
evostar-zig-gen, 1024, 10.92, 12.71, 0.28516147
evostar-zig-gen, 2048, 15.01, 22.53, 0.48234755
evostar-zig-gen, 2048, 11.14, 21.85, 0.48172093
evostar-zig-gen, 2048, 10.97, 23.75, 0.48559661
evostar-zig-gen, 2048, 10.30, 22.93, 0.48512996
evostar-zig-gen, 2048, 10.47, 23.90, 0.48883239
evostar-zig-gen, 2048, 10.48, 22.78, 0.47762942
evostar-zig-gen, 2048, 10.65, 24.19, 0.48770438
evostar-zig-gen, 2048, 10.43, 24.67, 0.47712436
evostar-zig-gen, 2048, 10.35, 24.10, 0.48973430
evostar-zig-gen, 2048, 10.34, 24.06, 0.48869041
evostar-zig-gen, 2048, 10.66, 24.35, 0.48460001
evostar-zig-gen, 2048, 10.34, 24.53, 0.48457891
evostar-zig-gen, 2048, 10.97, 24.85, 0.49229083
evostar-zig-gen, 2048, 10.45, 25.07, 0.47688647
evostar-zig-gen, 2048, 10.32, 23.80, 0.48937089
