Platform,size,GPU,PKG,seconds
lion-zig-hiff-release-fast, 512, 17.67, 41.02, 0.82092435
lion-zig-hiff-release-fast, 512, 17.60, 40.31, 0.82571643
lion-zig-hiff-release-fast, 512, 17.60, 38.76, 0.83910317
lion-zig-hiff-release-fast, 512, 17.55, 40.06, 0.83194429
lion-zig-hiff-release-fast, 512, 17.42, 37.81, 0.83823986
lion-zig-hiff-release-fast, 512, 17.51, 38.62, 0.81620324
lion-zig-hiff-release-fast, 512, 18.43, 40.86, 0.82246775
lion-zig-hiff-release-fast, 512, 17.98, 39.55, 0.83743082
lion-zig-hiff-release-fast, 512, 18.41, 40.19, 0.84602889
lion-zig-hiff-release-fast, 512, 21.66, 54.63, 0.86044394
lion-zig-hiff-release-fast, 512, 19.48, 40.80, 0.81216182
lion-zig-hiff-release-fast, 512, 18.71, 39.05, 0.81202010
lion-zig-hiff-release-fast, 512, 17.67, 39.78, 0.83895611
lion-zig-hiff-release-fast, 512, 17.75, 39.26, 0.83738107
lion-zig-hiff-release-fast, 512, 17.42, 39.26, 0.81963303
lion-zig-hiff-release-fast, 1024, 35.95, 83.00, 1.72714964
lion-zig-hiff-release-fast, 1024, 36.13, 83.91, 1.74710807
lion-zig-hiff-release-fast, 1024, 35.72, 80.92, 1.75031903
lion-zig-hiff-release-fast, 1024, 34.56, 74.79, 1.68767069
lion-zig-hiff-release-fast, 1024, 35.61, 81.67, 1.72650152
lion-zig-hiff-release-fast, 1024, 37.46, 80.75, 1.76107355
lion-zig-hiff-release-fast, 1024, 37.22, 81.32, 1.75592509
lion-zig-hiff-release-fast, 1024, 37.38, 86.77, 1.71204413
lion-zig-hiff-release-fast, 1024, 37.06, 87.30, 1.79105099
lion-zig-hiff-release-fast, 1024, 37.96, 84.40, 1.79403049
lion-zig-hiff-release-fast, 1024, 36.86, 94.75, 1.78144788
lion-zig-hiff-release-fast, 1024, 36.15, 83.42, 1.74428953
lion-zig-hiff-release-fast, 1024, 37.38, 84.01, 1.77861009
lion-zig-hiff-release-fast, 1024, 37.52, 79.85, 1.77281632
lion-zig-hiff-release-fast, 1024, 36.46, 79.21, 1.72347750
lion-zig-hiff-release-fast, 2048, 79.54, 173.03, 3.83634793
lion-zig-hiff-release-fast, 2048, 79.59, 177.05, 3.82796316
lion-zig-hiff-release-fast, 2048, 78.76, 170.82, 3.77397011
lion-zig-hiff-release-fast, 2048, 75.16, 168.67, 3.70220524
lion-zig-hiff-release-fast, 2048, 77.16, 171.97, 3.77896005
lion-zig-hiff-release-fast, 2048, 77.59, 169.40, 3.78791674
lion-zig-hiff-release-fast, 2048, 76.87, 166.96, 3.69505044
lion-zig-hiff-release-fast, 2048, 78.52, 170.47, 3.79766729
lion-zig-hiff-release-fast, 2048, 79.08, 169.52, 3.81488906
lion-zig-hiff-release-fast, 2048, 77.93, 172.53, 3.76481331
lion-zig-hiff-release-fast, 2048, 78.45, 167.87, 3.77664947
lion-zig-hiff-release-fast, 2048, 79.23, 175.82, 3.82319174
lion-zig-hiff-release-fast, 2048, 75.02, 171.86, 3.64712991
lion-zig-hiff-release-fast, 2048, 77.71, 168.40, 3.79880984
lion-zig-hiff-release-fast, 2048, 78.46, 182.33, 3.81657376
