Prefix,size,RAM,ECPU,PCPU,seconds
evostar-mac-ops-bool, 512, 0.61, 0.18, 10.22, 3.90922283
evostar-mac-ops-bool, 512, 0.45, 0.04, 9.81, 3.16639437
evostar-mac-ops-bool, 512, 0.49, 0.05, 10.20, 3.42037712
evostar-mac-ops-bool, 512, 0.46, 0.09, 9.90, 3.17926775
evostar-mac-ops-bool, 512, 0.48, 0.04, 10.21, 3.42535938
evostar-mac-ops-bool, 512, 0.47, 0.07, 10.12, 3.27421837
evostar-mac-ops-bool, 512, 0.49, 0.04, 10.28, 3.48712471
evostar-mac-ops-bool, 512, 0.48, 0.06, 10.21, 3.37448817
evostar-mac-ops-bool, 512, 0.53, 0.06, 10.65, 3.63150708
evostar-mac-ops-bool, 512, 0.60, 0.09, 10.68, 3.54717613
evostar-mac-ops-bool, 512, 0.59, 0.11, 10.62, 3.66471967
evostar-mac-ops-bool, 512, 0.70, 0.16, 11.58, 3.71738600
evostar-mac-ops-bool, 512, 0.59, 0.09, 10.81, 3.71354438
evostar-mac-ops-bool, 512, 0.62, 0.11, 12.09, 3.85575838
evostar-mac-ops-bool, 512, 0.60, 0.09, 11.57, 4.03759054
evostar-mac-ops-bool, 1024, 0.72, 0.15, 12.15, 4.04297358
evostar-mac-ops-bool, 1024, 0.66, 0.14, 11.96, 4.14868358
evostar-mac-ops-bool, 1024, 0.56, 0.06, 11.62, 4.02446046
evostar-mac-ops-bool, 1024, 0.58, 0.12, 12.07, 4.22532683
evostar-mac-ops-bool, 1024, 0.56, 0.05, 11.70, 4.10456167
evostar-mac-ops-bool, 1024, 0.59, 0.08, 12.03, 4.28410558
evostar-mac-ops-bool, 1024, 0.56, 0.05, 11.76, 4.15483404
evostar-mac-ops-bool, 1024, 0.59, 0.06, 12.07, 4.31658600
evostar-mac-ops-bool, 1024, 0.59, 0.06, 11.96, 4.25675121
evostar-mac-ops-bool, 1024, 0.58, 0.05, 12.03, 4.32251946
evostar-mac-ops-bool, 1024, 0.59, 0.11, 12.12, 4.24040954
evostar-mac-ops-bool, 1024, 0.60, 0.06, 12.21, 4.34982213
evostar-mac-ops-bool, 1024, 0.58, 0.05, 12.02, 4.33339263
evostar-mac-ops-bool, 1024, 0.58, 0.05, 12.12, 4.37033250
evostar-mac-ops-bool, 1024, 0.60, 0.06, 12.15, 4.36608704
evostar-mac-ops-bool, 2048, 0.63, 0.09, 12.64, 4.46260508
evostar-mac-ops-bool, 2048, 0.59, 0.07, 12.30, 4.37836304
evostar-mac-ops-bool, 2048, 0.63, 0.11, 12.72, 4.61844592
evostar-mac-ops-bool, 2048, 0.61, 0.10, 12.54, 4.42342071
evostar-mac-ops-bool, 2048, 0.62, 0.06, 12.64, 4.59313162
evostar-mac-ops-bool, 2048, 0.63, 0.06, 12.74, 4.65513221
evostar-mac-ops-bool, 2048, 0.65, 0.07, 12.87, 4.71055354
evostar-mac-ops-bool, 2048, 0.63, 0.07, 12.78, 4.63796346
evostar-mac-ops-bool, 2048, 0.65, 0.10, 13.04, 4.76651288
evostar-mac-ops-bool, 2048, 0.66, 0.10, 13.13, 4.74148621
evostar-mac-ops-bool, 2048, 0.63, 0.06, 12.89, 4.71365529
evostar-mac-ops-bool, 2048, 0.65, 0.06, 13.05, 4.80089192
evostar-mac-ops-bool, 2048, 0.68, 0.09, 13.23, 4.89018262
evostar-mac-ops-bool, 2048, 0.66, 0.07, 13.10, 4.78491217
evostar-mac-ops-bool, 2048, 0.67, 0.12, 13.23, 4.91498567
