Platform,size,GPU,PKG,seconds
lion-zig-gen-release-fast, 512, 4.68, 8.88, 0.19324374
lion-zig-gen-release-fast, 512, 4.73, 8.65, 0.18097869
lion-zig-gen-release-fast, 512, 4.69, 8.88, 0.19267467
lion-zig-gen-release-fast, 512, 4.89, 9.33, 0.19027747
lion-zig-gen-release-fast, 512, 4.90, 8.88, 0.18560798
lion-zig-gen-release-fast, 512, 4.90, 8.87, 0.18543890
lion-zig-gen-release-fast, 512, 4.88, 8.97, 0.18438783
lion-zig-gen-release-fast, 512, 4.88, 9.20, 0.18723678
lion-zig-gen-release-fast, 512, 4.86, 9.51, 0.18273991
lion-zig-gen-release-fast, 512, 4.86, 9.67, 0.19013541
lion-zig-gen-release-fast, 512, 4.63, 9.32, 0.18435929
lion-zig-gen-release-fast, 512, 4.89, 9.59, 0.18232894
lion-zig-gen-release-fast, 512, 4.90, 9.07, 0.18221333
lion-zig-gen-release-fast, 512, 4.85, 9.13, 0.18548241
lion-zig-gen-release-fast, 512, 4.82, 9.17, 0.18597310
lion-zig-gen-release-fast, 1024, 7.59, 14.83, 0.28761256
lion-zig-gen-release-fast, 1024, 7.59, 15.02, 0.29369090
lion-zig-gen-release-fast, 1024, 7.28, 17.20, 0.28337857
lion-zig-gen-release-fast, 1024, 7.22, 20.98, 0.28945712
lion-zig-gen-release-fast, 1024, 7.51, 18.56, 0.28975543
lion-zig-gen-release-fast, 1024, 7.47, 16.44, 0.28909020
lion-zig-gen-release-fast, 1024, 7.25, 16.48, 0.28571276
lion-zig-gen-release-fast, 1024, 7.63, 15.61, 0.29089997
lion-zig-gen-release-fast, 1024, 7.64, 15.29, 0.29128922
lion-zig-gen-release-fast, 1024, 7.51, 15.49, 0.29008860
lion-zig-gen-release-fast, 1024, 7.27, 14.43, 0.28853199
lion-zig-gen-release-fast, 1024, 7.20, 13.67, 0.29285317
lion-zig-gen-release-fast, 1024, 6.84, 14.00, 0.28156639
lion-zig-gen-release-fast, 1024, 6.97, 14.18, 0.28050599
lion-zig-gen-release-fast, 1024, 6.98, 13.82, 0.28974065
lion-zig-gen-release-fast, 2048, 11.44, 27.25, 0.48418044
lion-zig-gen-release-fast, 2048, 11.54, 25.79, 0.48818103
lion-zig-gen-release-fast, 2048, 11.09, 26.40, 0.48635751
lion-zig-gen-release-fast, 2048, 11.04, 26.37, 0.47952482
lion-zig-gen-release-fast, 2048, 11.68, 23.65, 0.49655367
lion-zig-gen-release-fast, 2048, 11.57, 24.18, 0.47807671
lion-zig-gen-release-fast, 2048, 11.02, 22.41, 0.48619227
lion-zig-gen-release-fast, 2048, 10.97, 23.26, 0.47883896
lion-zig-gen-release-fast, 2048, 10.88, 26.27, 0.49253307
lion-zig-gen-release-fast, 2048, 10.96, 24.53, 0.48970509
lion-zig-gen-release-fast, 2048, 10.89, 24.15, 0.48067470
lion-zig-gen-release-fast, 2048, 11.02, 24.05, 0.48754932
lion-zig-gen-release-fast, 2048, 11.07, 25.13, 0.48431541
lion-zig-gen-release-fast, 2048, 10.96, 25.61, 0.48083677
lion-zig-gen-release-fast, 2048, 10.96, 24.45, 0.48342721
