Tool,VM,size,RAM,ECPU,PCPU,seconds
pinpoint, node, 1024, 2.24, 0.25, 27.96, 
pinpoint, node, 1024, 1.96, 0.13, 26.18, 
pinpoint, node, 1024, 1.95, 0, 26.7, 
pinpoint, node, 1024, 1.93, 0, 26.12, 
pinpoint, node, 1024, 2.01, 0.02, 27.73, 
pinpoint, node, 1024, 1.94, 0, 26.45, 
pinpoint, node, 1024, 1.99, 0.02, 26.78, 
pinpoint, node, 1024, 1.98, 0, 27.01, 
pinpoint, node, 1024, 1.98, 0, 27.23, 
pinpoint, node, 1024, 1.98, 0, 27.35, 
pinpoint, node, 1024, 2.01, 0.01, 26.96, 
pinpoint, node, 1024, 2.02, 0.07, 27.27, 
pinpoint, node, 1024, 2.01, 0.04, 26.82, 
pinpoint, node, 1024, 2.01, 0.03, 27.76, 
pinpoint, node, 1024, 1.98, 0.02, 26.92, 
pinpoint, node, 2048, 4.07, 0.64, 58.12, 
pinpoint, node, 2048, 3.75, 0.37, 57.94, 
pinpoint, node, 2048, 3.78, 0.32, 58.31, 
pinpoint, node, 2048, 3.77, 0.34, 57.43, 
pinpoint, node, 2048, 3.85, 0.37, 57.89, 
pinpoint, node, 2048, 3.81, 0.39, 59.1, 
pinpoint, node, 2048, 3.85, 0.5, 58.08, 
pinpoint, node, 2048, 4.3, 1.63, 61.38, 
pinpoint, node, 2048, 4.69, 1.77, 60.84, 
pinpoint, node, 2048, 4.05, 0.66, 59.59, 
pinpoint, node, 2048, 3.84, 0.43, 57.96, 
pinpoint, node, 2048, 3.82, 0.39, 58.41, 
pinpoint, node, 2048, 3.99, 0.52, 59.59, 
pinpoint, node, 2048, 3.79, 0.48, 58.73, 
pinpoint, node, 2048, 3.74, 0.35, 57.46, 
pinpoint, node, 4096, 13.26, 5.27, 225.73, 
pinpoint, node, 4096, 12.37, 5.07, 232.77, 
pinpoint, node, 4096, 10.59, 4.38, 249.43, 
pinpoint, node, 4096, 12.2, 5.17, 257.72, 
pinpoint, node, 4096, 9.74, 3.84, 228.7, 
pinpoint, node, 4096, 9.81, 3.81, 251.21, 
pinpoint, node, 4096, 8.86, 3.43, 224.14, 
pinpoint, node, 4096, 10.46, 4.4, 250.34, 
pinpoint, node, 4096, 9.97, 3.42, 241.69, 
pinpoint, node, 4096, 9.78, 4.02, 250.95, 
pinpoint, node, 4096, 14.21, 7.89, 281.19, 
pinpoint, node, 4096, 12.57, 6.35, 266.31, 
pinpoint, node, 4096, 10.3, 4.38, 247.42, 
pinpoint, node, 4096, 10.91, 5.09, 260.65, 
pinpoint, node, 4096, 13.67, 6.54, 267.37, 
pinpoint, bun, 1024, 1.05, 0.3, 18.93, 
pinpoint, bun, 1024, 1.03, 0.29, 18.81, 
pinpoint, bun, 1024, 1.04, 0.32, 18.71, 
pinpoint, bun, 1024, 1.1, 0.44, 20.37, 
pinpoint, bun, 1024, 1.02, 0.27, 18.79, 
pinpoint, bun, 1024, 1.05, 0.33, 19.29, 
pinpoint, bun, 1024, 1.02, 0.32, 18.75, 
pinpoint, bun, 1024, 1.1, 0.33, 19.92, 
pinpoint, bun, 1024, 1.03, 0.29, 18.86, 
pinpoint, bun, 1024, 1.02, 0.29, 18.74, 
pinpoint, bun, 1024, 1.03, 0.29, 18.9, 
pinpoint, bun, 1024, 1.06, 0.33, 19.77, 
pinpoint, bun, 1024, 1.03, 0.29, 18.82, 
pinpoint, bun, 1024, 1.02, 0.29, 18.68, 
pinpoint, bun, 1024, 1.02, 0.28, 18.85, 
pinpoint, bun, 2048, 1.53, 0.45, 30.58, 
pinpoint, bun, 2048, 0.84, 0.14, 27.51, 
pinpoint, bun, 2048, 1.02, 0.21, 29.61, 
pinpoint, bun, 2048, 1.08, 0.28, 28.67, 
pinpoint, bun, 2048, 1.06, 0.26, 28.37, 
pinpoint, bun, 2048, 1.11, 0.28, 29.27, 
pinpoint, bun, 2048, 0.87, 0.17, 27.65, 
pinpoint, bun, 2048, 1.18, 0.29, 30.19, 
pinpoint, bun, 2048, 0.93, 0.2, 28.04, 
pinpoint, bun, 2048, 1.07, 0.23, 28.56, 
pinpoint, bun, 2048, 0.91, 0.2, 28.52, 
pinpoint, bun, 2048, 0.95, 0.18, 28.13, 
pinpoint, bun, 2048, 1.66, 0.51, 31.9, 
pinpoint, bun, 2048, 1.2, 0.29, 29.07, 
pinpoint, bun, 2048, 1.89, 0.59, 31.07, 
pinpoint, bun, 4096, 5.46, 2.63, 65.9, 
pinpoint, bun, 4096, 3.75, 1.66, 55.13, 
pinpoint, bun, 4096, 4.36, 2.15, 57.99, 
pinpoint, bun, 4096, 4.17, 2.01, 57.93, 
pinpoint, bun, 4096, 4.33, 2.03, 58.08, 
pinpoint, bun, 4096, 4.57, 2.22, 59.75, 
pinpoint, bun, 4096, 4.04, 1.83, 56.21, 
pinpoint, bun, 4096, 3.32, 1.47, 53.03, 
pinpoint, bun, 4096, 3.29, 1.43, 54.6, 
pinpoint, bun, 4096, 3.7, 1.68, 55.75, 
pinpoint, bun, 4096, 3.26, 1.37, 54.13, 
pinpoint, bun, 4096, 3.12, 1.34, 52.55, 
pinpoint, bun, 4096, 3.11, 1.34, 52.38, 
pinpoint, bun, 4096, 3.22, 1.36, 53.81, 
pinpoint, bun, 4096, 3.58, 1.73, 54.07, 
pinpoint, deno, 1024, 0, 0, 0, 
pinpoint, deno, 1024, 0, 0, 0, 
pinpoint, deno, 1024, 0, 0, 0, 
pinpoint, deno, 1024, 0, 0, 0, 
pinpoint, deno, 1024, 0, 0, 0, 
pinpoint, deno, 1024, 0, 0, 0, 
pinpoint, deno, 1024, 0, 0, 0, 
pinpoint, deno, 1024, 0, 0, 0, 
pinpoint, deno, 1024, 0, 0, 0, 
pinpoint, deno, 1024, 0, 0, 0, 
pinpoint, deno, 1024, 0, 0, 0, 
pinpoint, deno, 1024, 0, 0, 0, 
pinpoint, deno, 1024, 0, 0, 0, 
pinpoint, deno, 1024, 0, 0, 0, 
pinpoint, deno, 1024, 0, 0, 0, 
pinpoint, deno, 2048, 0, 0, 0, 
pinpoint, deno, 2048, 0, 0, 0.01, 
pinpoint, deno, 2048, 0, 0, 0.02, 
pinpoint, deno, 2048, 0, 0, 0.01, 
pinpoint, deno, 2048, 0, 0, 0.01, 
pinpoint, deno, 2048, 0, 0, 0.01, 
pinpoint, deno, 2048, 0, 0, 0.01, 
pinpoint, deno, 2048, 0, 0, 0, 
pinpoint, deno, 2048, 0, 0, 0, 
pinpoint, deno, 2048, 0, 0, 0.01, 
pinpoint, deno, 2048, 0, 0, 0.01, 
pinpoint, deno, 2048, 0, 0, 0.01, 
pinpoint, deno, 2048, 0, 0, 0.01, 
pinpoint, deno, 2048, 0, 0, 0.01, 
pinpoint, deno, 2048, 0, 0, 0, 
pinpoint, deno, 4096, 0, 0, 0.01, 
pinpoint, deno, 4096, 0, 0, 0.01, 
pinpoint, deno, 4096, 0, 0, 0, 
pinpoint, deno, 4096, 0, 0, 0.01, 
pinpoint, deno, 4096, 0, 0, 0.01, 
pinpoint, deno, 4096, 0, 0, 0.01, 
pinpoint, deno, 4096, 0, 0, 0.01, 
pinpoint, deno, 4096, 0, 0, 0, 
pinpoint, deno, 4096, 0, 0, 0.01, 
pinpoint, deno, 4096, 0, 0, 0.01, 
pinpoint, deno, 4096, 0, 0, 0, 
pinpoint, deno, 4096, 0, 0, 0.01, 
pinpoint, deno, 4096, 0, 0, 0.01, 
pinpoint, deno, 4096, 0, 0, 0.01, 
pinpoint, deno, 4096, 0, 0, 0.01, 
