Platform,size,GPU,PKG,seconds
lion-zig-ops-release-fast, 512, 7.70, 17.18, 0.31139880
lion-zig-ops-release-fast, 512, 7.70, 17.44, 0.31988171
lion-zig-ops-release-fast, 512, 7.82, 19.51, 0.31694952
lion-zig-ops-release-fast, 512, 7.86, 19.39, 0.31573090
lion-zig-ops-release-fast, 512, 7.91, 19.45, 0.31469160
lion-zig-ops-release-fast, 512, 8.06, 18.81, 0.31921231
lion-zig-ops-release-fast, 512, 8.08, 18.43, 0.31073919
lion-zig-ops-release-fast, 512, 8.12, 17.74, 0.31693532
lion-zig-ops-release-fast, 512, 8.19, 18.16, 0.31081426
lion-zig-ops-release-fast, 512, 7.90, 19.35, 0.31870952
lion-zig-ops-release-fast, 512, 7.80, 18.04, 0.32259774
lion-zig-ops-release-fast, 512, 7.77, 17.56, 0.31630635
lion-zig-ops-release-fast, 512, 7.81, 17.67, 0.32132037
lion-zig-ops-release-fast, 512, 7.73, 17.58, 0.32152002
lion-zig-ops-release-fast, 512, 7.77, 17.49, 0.31628850
lion-zig-ops-release-fast, 1024, 9.98, 23.26, 0.41842013
lion-zig-ops-release-fast, 1024, 9.91, 23.17, 0.42539170
lion-zig-ops-release-fast, 1024, 9.97, 25.50, 0.42364938
lion-zig-ops-release-fast, 1024, 10.06, 24.05, 0.42234022
lion-zig-ops-release-fast, 1024, 9.89, 24.84, 0.42254591
lion-zig-ops-release-fast, 1024, 10.11, 25.99, 0.42935374
lion-zig-ops-release-fast, 1024, 9.97, 25.71, 0.42421287
lion-zig-ops-release-fast, 1024, 9.86, 22.73, 0.42242095
lion-zig-ops-release-fast, 1024, 9.81, 22.57, 0.42555166
lion-zig-ops-release-fast, 1024, 9.91, 24.73, 0.41770987
lion-zig-ops-release-fast, 1024, 9.94, 22.76, 0.42347104
lion-zig-ops-release-fast, 1024, 9.76, 23.06, 0.42256216
lion-zig-ops-release-fast, 1024, 9.93, 23.50, 0.42550690
lion-zig-ops-release-fast, 1024, 9.99, 25.43, 0.42456126
lion-zig-ops-release-fast, 1024, 9.94, 24.73, 0.42344019
lion-zig-ops-release-fast, 2048, 14.37, 38.86, 0.62745709
lion-zig-ops-release-fast, 2048, 14.40, 40.79, 0.64262826
lion-zig-ops-release-fast, 2048, 15.26, 43.26, 0.63622963
lion-zig-ops-release-fast, 2048, 15.73, 39.38, 0.63485703
lion-zig-ops-release-fast, 2048, 15.75, 38.13, 0.61979303
lion-zig-ops-release-fast, 2048, 15.29, 36.19, 0.62852379
lion-zig-ops-release-fast, 2048, 15.13, 35.82, 0.63020981
lion-zig-ops-release-fast, 2048, 14.69, 36.18, 0.62417984
lion-zig-ops-release-fast, 2048, 19.81, 38.40, 0.62384127
lion-zig-ops-release-fast, 2048, 24.28, 35.72, 0.62243107
lion-zig-ops-release-fast, 2048, 24.09, 34.02, 0.62089079
lion-zig-ops-release-fast, 2048, 17.11, 31.65, 0.62715630
lion-zig-ops-release-fast, 2048, 14.91, 31.08, 0.62123321
lion-zig-ops-release-fast, 2048, 14.12, 30.66, 0.61543352
lion-zig-ops-release-fast, 2048, 13.96, 33.15, 0.61919441
