Tool,VM,size,GPU,PKG,seconds
pinpoint, node, 1024, 36.85, 320.53, 10.67826353
pinpoint, node, 1024, 8.60999999999999, 352.84, 10.69510076
pinpoint, node, 1024, 3.72, 318.81, 10.66683136
pinpoint, node, 1024, 4.69, 328.29, 10.72336408
pinpoint, node, 1024, 0, 288.95, 10.65571547
pinpoint, node, 1024, 38.12, 347.14, 10.76932282
pinpoint, node, 1024, 23.83, 408.18, 10.76583738
pinpoint, node, 1024, 3.56, 335.94, 10.87457143
pinpoint, node, 1024, 41.78, 360.85, 10.79389911
pinpoint, node, 1024, 29.58, 417.84, 11.10412746
pinpoint, node, 1024, 21.2, 321.06, 10.98530042
pinpoint, node, 1024, 24.53, 382.03, 11.15654350
pinpoint, node, 1024, 15.17, 353.37, 11.07020471
pinpoint, node, 1024, 18.3, 359.38, 11.05390069
pinpoint, node, 1024, 19.67, 401.82, 11.11711108
pinpoint, node, 2048, 30.87, 596.7, 17.22498930
pinpoint, node, 2048, 0, 453.98, 17.02271872
pinpoint, node, 2048, 0, 438.98, 17.10697084
pinpoint, node, 2048, 0, 426.58, 16.85689642
pinpoint, node, 2048, 0, 401.64, 17.09302359
pinpoint, node, 2048, 0, 421.22, 16.83134491
pinpoint, node, 2048, 0, 448.57, 16.86270319
pinpoint, node, 2048, 0.949999999999989, 507.13, 16.93775266
pinpoint, node, 2048, 0, 450.52, 16.86480481
pinpoint, node, 2048, 46.43, 554.98, 17.16127282
pinpoint, node, 2048, 4.43000000000001, 527.28, 17.12071017
pinpoint, node, 2048, 1.55000000000001, 501.82, 17.15043221
pinpoint, node, 2048, 3.59999999999997, 482.59, 17.13973801
pinpoint, node, 2048, 0, 484.28, 16.90576049
pinpoint, node, 2048, 3.26999999999998, 519.16, 17.07281056
pinpoint, node, 4096, 0, 715.19, 33.39777001
pinpoint, node, 4096, 0, 605.13, 33.04500852
pinpoint, node, 4096, 0, 734, 33.43243753
pinpoint, node, 4096, 0, 697.2, 33.51581886
pinpoint, node, 4096, 0, 651.56, 33.26909745
pinpoint, node, 4096, 0, 619.91, 33.15752598
pinpoint, node, 4096, 0, 667.73, 33.62804457
pinpoint, node, 4096, 0, 686.15, 33.14368480
pinpoint, node, 4096, 0, 684.55, 33.15576234
pinpoint, node, 4096, 0, 719.17, 33.44170073
pinpoint, node, 4096, 0, 671.67, 33.08724400
pinpoint, node, 4096, 18.76, 799.03, 33.71435644
pinpoint, node, 4096, 0, 751.56, 33.46780430
pinpoint, node, 4096, 0, 768.62, 33.53497211
pinpoint, node, 4096, 26.58, 807.24, 33.58127571
pinpoint, bun, 1024, 6.66, 192.35, 4.71391950
pinpoint, bun, 1024, 0, 144.2, 4.60768547
pinpoint, bun, 1024, 0, 148.56, 4.57949837
pinpoint, bun, 1024, 2.77, 166.11, 4.54019921
pinpoint, bun, 1024, 4.52, 177.96, 4.64143688
pinpoint, bun, 1024, 0.200000000000003, 169.28, 4.60157112
pinpoint, bun, 1024, 7.13, 192.95, 4.60761477
pinpoint, bun, 1024, 0, 174.59, 4.54458222
pinpoint, bun, 1024, 0.640000000000001, 177.01, 4.60401134
pinpoint, bun, 1024, 7.73, 193.48, 4.61996104
pinpoint, bun, 1024, 9.28, 186.49, 4.64129700
pinpoint, bun, 1024, 0.909999999999997, 142.95, 4.52199772
pinpoint, bun, 1024, 0, 140.35, 4.60872329
pinpoint, bun, 1024, 9.81999999999999, 199.65, 4.65063494
pinpoint, bun, 1024, 0.149999999999991, 171.96, 4.59899027
pinpoint, bun, 2048, 0, 199.64, 6.65264413
pinpoint, bun, 2048, 16.23, 249.61, 6.82295268
pinpoint, bun, 2048, 16.86, 282.1, 7.00413646
pinpoint, bun, 2048, 7.06999999999999, 225.59, 6.92144610
pinpoint, bun, 2048, 33.31, 223.44, 6.79408265
pinpoint, bun, 2048, 3.45999999999998, 213.58, 6.87402305
pinpoint, bun, 2048, 0.869999999999976, 207.07, 6.77119632
