Prefix,size,RAM,ECPU,PCPU,seconds
evostar-mac-gen, 512, 0.07, 0.09, 0.30, 0.51755292
evostar-mac-gen, 512, 0.04, 0.00, 0.29, 0.12036408
evostar-mac-gen, 512, 0.04, 0.00, 0.29, 0.12045987
evostar-mac-gen, 512, 0.04, 0.00, 0.30, 0.11955350
evostar-mac-gen, 512, 0.04, 0.00, 0.30, 0.12145108
evostar-mac-gen, 512, 0.04, 0.00, 0.30, 0.11990742
evostar-mac-gen, 512, 0.04, 0.00, 0.30, 0.11941983
evostar-mac-gen, 512, 0.04, 0.00, 0.30, 0.11945888
evostar-mac-gen, 512, 0.04, 0.00, 0.30, 0.11925996
evostar-mac-gen, 512, 0.04, 0.00, 0.30, 0.11957608
evostar-mac-gen, 512, 0.04, 0.00, 0.29, 0.11934792
evostar-mac-gen, 512, 0.04, 0.00, 0.31, 0.12100063
evostar-mac-gen, 512, 0.04, 0.01, 0.32, 0.11841233
evostar-mac-gen, 512, 0.04, 0.00, 0.30, 0.11902042
evostar-mac-gen, 512, 0.04, 0.01, 0.45, 0.12235925
evostar-mac-gen, 1024, 0.04, 0.01, 0.34, 0.14745000
evostar-mac-gen, 1024, 0.04, 0.00, 0.32, 0.14498946
evostar-mac-gen, 1024, 0.04, 0.00, 0.33, 0.14425562
evostar-mac-gen, 1024, 0.04, 0.00, 0.32, 0.14700675
evostar-mac-gen, 1024, 0.04, 0.00, 0.33, 0.14275425
evostar-mac-gen, 1024, 0.04, 0.00, 0.33, 0.14425396
evostar-mac-gen, 1024, 0.04, 0.00, 0.32, 0.14537017
evostar-mac-gen, 1024, 0.04, 0.02, 0.44, 0.14987600
evostar-mac-gen, 1024, 0.04, 0.00, 0.33, 0.14432367
evostar-mac-gen, 1024, 0.04, 0.00, 0.32, 0.14535533
evostar-mac-gen, 1024, 0.04, 0.01, 0.32, 0.14450462
evostar-mac-gen, 1024, 0.04, 0.00, 0.32, 0.14426388
evostar-mac-gen, 1024, 0.04, 0.00, 0.32, 0.14532946
evostar-mac-gen, 1024, 0.04, 0.01, 0.35, 0.14329412
evostar-mac-gen, 1024, 0.04, 0.00, 0.32, 0.14541317
evostar-mac-gen, 2048, 0.04, 0.00, 0.48, 0.19437250
evostar-mac-gen, 2048, 0.05, 0.01, 0.52, 0.19231650
evostar-mac-gen, 2048, 0.04, 0.00, 0.48, 0.19445996
evostar-mac-gen, 2048, 0.04, 0.00, 0.49, 0.19230208
evostar-mac-gen, 2048, 0.04, 0.00, 0.48, 0.19297879
evostar-mac-gen, 2048, 0.04, 0.00, 0.48, 0.19239229
evostar-mac-gen, 2048, 0.04, 0.01, 0.49, 0.19940954
evostar-mac-gen, 2048, 0.04, 0.00, 0.49, 0.19265733
evostar-mac-gen, 2048, 0.04, 0.00, 0.49, 0.19317163
evostar-mac-gen, 2048, 0.04, 0.01, 0.51, 0.19394767
evostar-mac-gen, 2048, 0.04, 0.00, 0.48, 0.19258787
evostar-mac-gen, 2048, 0.04, 0.00, 0.48, 0.19177312
evostar-mac-gen, 2048, 0.04, 0.00, 0.49, 0.19409008
evostar-mac-gen, 2048, 0.04, 0.00, 0.48, 0.19431617
evostar-mac-gen, 2048, 0.04, 0.00, 0.48, 0.19297971
