Tool,size,GPU,PKG,seconds
pinpoint, 1024, 12.89, 46.73, 2.09469920
pinpoint, 1024, 14.16, 41.06, 2.11300332
pinpoint, 1024, 0, 42.65, 2.07282397
pinpoint, 1024, 0, 36.95, 2.08765239
pinpoint, 1024, 0, 37.26, 2.05453617
pinpoint, 1024, 26.11, 42.27, 2.05003140
pinpoint, 1024, 0, 18.27, 2.03638585
pinpoint, 1024, 5.95, 48.47, 2.12582819
pinpoint, 1024, 2.33, 41.51, 2.05659263
pinpoint, 1024, 0, 20.59, 2.03350402
pinpoint, 1024, 0, 16.68, 2.00142384
pinpoint, 1024, 0.549999999999997, 32.41, 2.08618766
pinpoint, 1024, 0, 8.75, 2.00379224
pinpoint, 1024, 0, 31.32, 2.02133157
pinpoint, 1024, 5.51, 53.18, 2.15285359
pinpoint, 2048, 0, 84.36, 8.35547235
pinpoint, 2048, 0, 111.83, 8.44827609
pinpoint, 2048, 4.56, 200.06, 8.66917367
pinpoint, 2048, 4.5, 178.55, 8.63423366
pinpoint, 2048, 2.83000000000001, 138.66, 8.59879665
pinpoint, 2048, 0.47999999999999, 148.75, 8.46545861
pinpoint, 2048, 9.13999999999999, 170.86, 8.51450038
pinpoint, 2048, 0, 106.28, 8.40718855
pinpoint, 2048, 0, 84.27, 8.26593037
pinpoint, 2048, 4.65000000000001, 138.18, 8.43092896
pinpoint, 2048, 8.24000000000001, 158.32, 8.58279612
pinpoint, 2048, 12.38, 171.32, 8.52664414
pinpoint, 2048, 7.15000000000001, 157.75, 8.51034615
pinpoint, 2048, 3, 151.74, 8.56598945
pinpoint, 2048, 1.34999999999999, 144.98, 8.37306655
pinpoint, 4096, 50.1999999999999, 822.67, 33.12929097
pinpoint, 4096, 0, 653.95, 32.81150773
pinpoint, 4096, 18.63, 682.56, 32.73586961
pinpoint, 4096, 0, 635, 32.80864923
pinpoint, 4096, 0, 643.31, 32.56250197
pinpoint, 4096, 0, 603.84, 32.39915254
pinpoint, 4096, 0, 645.67, 32.90978073
pinpoint, 4096, 0, 604.89, 32.62598577
pinpoint, 4096, 0, 594.78, 32.70053963
pinpoint, 4096, 0, 697.32, 33.04774223
pinpoint, 4096, 0, 678.27, 32.77700557
pinpoint, 4096, 14.49, 663.99, 32.52843409
pinpoint, 4096, 0, 623.29, 32.69997331
pinpoint, 4096, 0, 708.41, 32.75362681
pinpoint, 4096, 0, 581.51, 32.36707556
