Tool,VM,size,cores,RAM,seconds
pinpoint, node, 1024, 87.8, 1.11, 14.41199156
pinpoint, node, 1024, 90.73, 0.790000000000003, 14.29393078
pinpoint, node, 1024, 91.39, 1.75, 14.52870676
pinpoint, node, 1024, 90.79, 2.07, 14.69552851
pinpoint, node, 1024, 93.43, 1.61, 14.67023783
pinpoint, node, 1024, 114.26, 6.29, 15.00470706
pinpoint, node, 1024, 102.47, 3.76, 14.61619973
pinpoint, node, 1024, 112.42, 16.64, 17.29656990
pinpoint, node, 1024, 89.86, 17.63, 18.38554374
pinpoint, node, 1024, 83.59, 16.36, 18.09061013
pinpoint, node, 1024, 87.6, 6.27, 15.82014729
pinpoint, node, 1024, 88.42, 10.33, 16.69662533
pinpoint, node, 1024, 83.21, 6.28, 15.77492701
pinpoint, node, 1024, 87.68, 8.44, 16.20108769
pinpoint, node, 1024, 89.27, 12.13, 16.86325091
pinpoint, node, 2048, 223.43, 0, 26.76605357
pinpoint, node, 2048, 183.88, 5.29, 31.73996432
pinpoint, node, 2048, 170.53, 1.28, 29.63578871
pinpoint, node, 2048, 190.55, 4.44, 31.89477231
pinpoint, node, 2048, 191.53, 11.96, 32.38696333
pinpoint, node, 2048, 194.07, 14.22, 33.83239728
pinpoint, node, 2048, 185.55, 5.78, 31.85385653
pinpoint, node, 2048, 190.82, 9.42, 32.53688178
pinpoint, node, 2048, 184.68, 0, 29.47071050
pinpoint, node, 2048, 165.88, 0, 27.65719337
pinpoint, node, 2048, 219.6, 31.5, 38.69801691
pinpoint, node, 2048, 191.2, 18.66, 34.55673375
pinpoint, node, 2048, 202.3, 20.57, 36.01879618
pinpoint, node, 2048, 205.53, 27.58, 36.70842425
pinpoint, node, 2048, 183.27, 13.46, 32.58642085
pinpoint, node, 4096, 276.26, 22.25, 28.65190932
pinpoint, node, 4096, 257.36, 39.16, 36.78010366
pinpoint, node, 4096, 190.38, 30.7, 29.41149328
pinpoint, node, 4096, 180.44, 12.77, 25.60240176
pinpoint, node, 4096, 168.74, 6.55, 23.76287555
pinpoint, node, 4096, 164.57, 3.97, 23.29536773
pinpoint, node, 4096, 174.43, 8.71, 24.68474317
pinpoint, node, 4096, 265.4, 35.14, 37.84901797
pinpoint, node, 4096, 243.1, 24.16, 33.79621982
pinpoint, node, 4096, 219.62, 27.95, 31.93121397
pinpoint, node, 4096, 172, 17.57, 26.43978293
pinpoint, node, 4096, 200.19, 18.53, 29.30321046
pinpoint, node, 4096, 234.26, 25.76, 33.36599800
pinpoint, node, 4096, 198.84, 14.68, 28.47906603
pinpoint, node, 4096, 173.21, 17.09, 25.93010604
pinpoint, bun, 1024, 105.39, 4.4, 5.79230911
pinpoint, bun, 1024, 98.78, 4.34, 5.84291756
pinpoint, bun, 1024, 72.5, 13.98, 9.55666764
pinpoint, bun, 1024, 62.61, 6.88, 7.74639391
pinpoint, bun, 1024, 64.89, 5.22, 7.84306362
pinpoint, bun, 1024, 61.16, 4.46, 7.32927296
pinpoint, bun, 1024, 65.1, 4.65, 7.65252767
pinpoint, bun, 1024, 62.27, 4.3, 7.24556205
pinpoint, bun, 1024, 69.5, 7.31, 8.38349347
pinpoint, bun, 1024, 69.4, 14.03, 9.79759880
pinpoint, bun, 1024, 68.8, 12.17, 9.29504586
pinpoint, bun, 1024, 65.32, 15.17, 9.70998458
pinpoint, bun, 1024, 67.23, 8.45, 8.37128403
pinpoint, bun, 1024, 63.97, 4.44, 7.51062905
pinpoint, bun, 1024, 63.6, 4.3, 7.18996592
pinpoint, bun, 2048, 144.74, 5.06, 10.33356108
pinpoint, bun, 2048, 107.39, 7.44, 12.68839147
pinpoint, bun, 2048, 108.7, 7.59, 12.62138304
pinpoint, bun, 2048, 108.4, 6.96, 12.57554824
pinpoint, bun, 2048, 106.36, 6.88, 12.44695641
pinpoint, bun, 2048, 109.8, 7.09, 12.87817988
pinpoint, bun, 2048, 113.45, 7.46, 13.02031005
pinpoint, bun, 2048, 106.32, 6.99, 12.52728286
pinpoint, bun, 2048, 110.18, 7.27, 12.94978616
pinpoint, bun, 2048, 108.08, 6.93, 12.57299489
pinpoint, bun, 2048, 105.24, 6.93, 12.51375959
pinpoint, bun, 2048, 109.58, 7.17, 12.95992369
pinpoint, bun, 2048, 111.14, 7.03, 12.65515717
pinpoint, bun, 2048, 106.83, 6.76, 12.46517522
pinpoint, bun, 2048, 103.65, 6.97, 12.59439449
pinpoint, bun, 4096, 228.29, 2.27, 20.64653524
pinpoint, bun, 4096, 174.24, 3.77, 23.21312407
pinpoint, bun, 4096, 191.57, 4.71, 25.72709517
pinpoint, bun, 4096, 173.1, 5.29, 23.61530675
pinpoint, bun, 4096, 177.43, 4.07, 23.20579474
pinpoint, bun, 4096, 176.2, 3.93, 23.08227794
pinpoint, bun, 4096, 169.52, 3.82, 23.02035588
pinpoint, bun, 4096, 173.8, 3.79, 22.98147405
pinpoint, bun, 4096, 185.77, 12.07, 25.43030391
pinpoint, bun, 4096, 181.16, 9.47, 24.49129263
pinpoint, bun, 4096, 187.54, 23.79, 28.05568652
pinpoint, bun, 4096, 185.87, 16.74, 26.16518013
pinpoint, bun, 4096, 183.77, 17.48, 26.09223208
pinpoint, bun, 4096, 191.26, 12.61, 25.16680089
pinpoint, bun, 4096, 181.04, 11.87, 25.22658127
pinpoint, deno, 1024, 161.17, 7.71, 16.23744177
pinpoint, deno, 1024, 140.42, 11.37, 17.79981565
pinpoint, deno, 1024, 127.8, 21.96, 20.53945516
pinpoint, deno, 1024, 123.91, 17.44, 19.71495345
pinpoint, deno, 1024, 127.16, 18.52, 20.27760373
pinpoint, deno, 1024, 119, 17.75, 19.52175694
pinpoint, deno, 1024, 129.66, 27.56, 21.90805282
pinpoint, deno, 1024, 131.56, 13.52, 19.52146705
pinpoint, deno, 1024, 130.51, 20.42, 20.39466590
pinpoint, deno, 1024, 128.06, 18.8, 20.33446784
pinpoint, deno, 1024, 115.39, 14.02, 18.79151867
pinpoint, deno, 1024, 119.89, 13.57, 18.80839660
pinpoint, deno, 1024, 128.27, 15.32, 19.61639838
pinpoint, deno, 1024, 120.34, 9.6, 18.00169696
pinpoint, deno, 1024, 114.3, 11.73, 18.41441613
pinpoint, deno, 2048, 124.58, 2.38, 17.29347793
