Tool,VM,size,cores,RAM,seconds
pinpoint, deno, 2048, 68.82, 10.01, 20.71145862
pinpoint, deno, 2048, 58.97, 2.66, 18.72628673
pinpoint, deno, 2048, 47.85, 3.12, 18.02493002
pinpoint, deno, 2048, 66.52, 6.21, 20.73435453
pinpoint, deno, 2048, 52.84, 5.16, 19.12378917
pinpoint, deno, 2048, 40.46, 0, 15.82909523
pinpoint, deno, 2048, 53.19, 3.47, 18.36108884
pinpoint, deno, 2048, 54, 3.69, 18.73235827
pinpoint, deno, 2048, 50.21, 2.78, 18.18706959
pinpoint, deno, 2048, 48.1, 1.26, 17.84614470
pinpoint, deno, 2048, 63.07, 7.12, 20.15557907
pinpoint, deno, 2048, 60.37, 5.24, 19.33921033
pinpoint, deno, 2048, 111.78, 15.42, 25.33252038
pinpoint, deno, 2048, 72.3, 12.57, 21.86567941
pinpoint, deno, 4096, 253.78, 59.28, 37.30836359
pinpoint, deno, 4096, 145.01, 24.47, 24.07246680
pinpoint, deno, 4096, 127.3, 16.14, 21.76491030
pinpoint, deno, 4096, 117.2, 10.79, 19.32922812
pinpoint, deno, 4096, 89.8, 0.449999999999999, 15.71985836
pinpoint, deno, 4096, 97.19, 1.56, 16.61550209
pinpoint, deno, 4096, 104.4, 6.4, 18.08260796
pinpoint, deno, 4096, 92.18, 0, 15.66899361
pinpoint, deno, 4096, 115.87, 5.43, 18.97308853
pinpoint, deno, 4096, 100.4, 0, 15.63063779
pinpoint, deno, 4096, 122.41, 26.46, 22.44904544
pinpoint, deno, 4096, 105.79, 8.67, 18.33668228
pinpoint, deno, 4096, 90.14, 1.89, 16.24436298
pinpoint, deno, 4096, 108.01, 10.7, 18.80705132
pinpoint, deno, 4096, 126.4, 18.03, 22.18093432
