Platform,size,GPU,PKG,seconds
evostar-zig-ops-nx-noalloc, 512, 6.19, 12.04, 0.22178698
evostar-zig-ops-nx-noalloc, 512, 6.19, 12.46, 0.20585197
evostar-zig-ops-nx-noalloc, 512, 6.17, 12.11, 0.22337144
evostar-zig-ops-nx-noalloc, 512, 6.14, 12.38, 0.21047219
evostar-zig-ops-nx-noalloc, 512, 5.94, 12.74, 0.20903756
evostar-zig-ops-nx-noalloc, 512, 5.97, 12.71, 0.21079670
evostar-zig-ops-nx-noalloc, 512, 5.98, 12.42, 0.21029144
evostar-zig-ops-nx-noalloc, 512, 5.91, 12.37, 0.21034722
evostar-zig-ops-nx-noalloc, 512, 6.04, 12.12, 0.20616115
evostar-zig-ops-nx-noalloc, 512, 6.15, 11.80, 0.21082082
evostar-zig-ops-nx-noalloc, 512, 6.14, 11.61, 0.20916243
evostar-zig-ops-nx-noalloc, 512, 6.15, 11.75, 0.20592065
evostar-zig-ops-nx-noalloc, 512, 6.16, 11.69, 0.21068243
evostar-zig-ops-nx-noalloc, 512, 6.18, 12.09, 0.20992540
evostar-zig-ops-nx-noalloc, 512, 6.14, 11.95, 0.20702854
evostar-zig-ops-nx-noalloc, 1024, 8.38, 16.87, 0.31301757
evostar-zig-ops-nx-noalloc, 1024, 8.37, 16.99, 0.30947286
evostar-zig-ops-nx-noalloc, 1024, 8.36, 16.72, 0.31278418
evostar-zig-ops-nx-noalloc, 1024, 8.29, 17.01, 0.31208024
evostar-zig-ops-nx-noalloc, 1024, 8.63, 16.99, 0.31823158
evostar-zig-ops-nx-noalloc, 1024, 8.62, 17.69, 0.31221297
evostar-zig-ops-nx-noalloc, 1024, 8.58, 17.44, 0.31799471
evostar-zig-ops-nx-noalloc, 1024, 8.56, 17.60, 0.31274123
evostar-zig-ops-nx-noalloc, 1024, 8.54, 17.15, 0.31879640
evostar-zig-ops-nx-noalloc, 1024, 8.39, 17.63, 0.31345388
evostar-zig-ops-nx-noalloc, 1024, 8.39, 17.10, 0.31872354
evostar-zig-ops-nx-noalloc, 1024, 8.39, 17.31, 0.31130391
evostar-zig-ops-nx-noalloc, 1024, 8.61, 16.94, 0.31770094
evostar-zig-ops-nx-noalloc, 1024, 8.60, 16.65, 0.31763677
evostar-zig-ops-nx-noalloc, 1024, 8.64, 17.25, 0.31801166
evostar-zig-ops-nx-noalloc, 2048, 13.06, 27.68, 0.53078725
evostar-zig-ops-nx-noalloc, 2048, 13.65, 29.59, 0.53126537
evostar-zig-ops-nx-noalloc, 2048, 13.62, 29.23, 0.53208756
evostar-zig-ops-nx-noalloc, 2048, 13.26, 27.06, 0.54889471
evostar-zig-ops-nx-noalloc, 2048, 13.09, 28.79, 0.52640373
evostar-zig-ops-nx-noalloc, 2048, 13.62, 27.87, 0.53473706
evostar-zig-ops-nx-noalloc, 2048, 13.60, 27.38, 0.52514783
evostar-zig-ops-nx-noalloc, 2048, 13.62, 28.03, 0.53154458
evostar-zig-ops-nx-noalloc, 2048, 13.15, 28.48, 0.53555829
evostar-zig-ops-nx-noalloc, 2048, 13.63, 28.78, 0.53509853
evostar-zig-ops-nx-noalloc, 2048, 13.54, 28.01, 0.53178558
evostar-zig-ops-nx-noalloc, 2048, 13.20, 28.09, 0.52684705
evostar-zig-ops-nx-noalloc, 2048, 13.20, 28.86, 0.53237291
evostar-zig-ops-nx-noalloc, 2048, 13.63, 29.24, 0.52835876
evostar-zig-ops-nx-noalloc, 2048, 13.76, 28.64, 0.52552261
