Platform,size,GPU,PKG,seconds
lion-zig-gen-release-fast-fba, 512, 3.10, 5.55, 0.10569609
lion-zig-gen-release-fast-fba, 512, 3.14, 5.75, 0.10505259
lion-zig-gen-release-fast-fba, 512, 3.18, 5.72, 0.10559341
lion-zig-gen-release-fast-fba, 512, 3.04, 5.71, 0.10547418
lion-zig-gen-release-fast-fba, 512, 3.15, 5.68, 0.10498862
lion-zig-gen-release-fast-fba, 512, 3.03, 5.64, 0.10475731
lion-zig-gen-release-fast-fba, 512, 3.09, 5.59, 0.10624683
lion-zig-gen-release-fast-fba, 512, 3.25, 7.89, 0.11019459
lion-zig-gen-release-fast-fba, 512, 3.13, 6.45, 0.10579676
lion-zig-gen-release-fast-fba, 512, 3.11, 6.57, 0.10488512
lion-zig-gen-release-fast-fba, 512, 3.19, 6.65, 0.10585133
lion-zig-gen-release-fast-fba, 512, 3.13, 5.90, 0.10581076
lion-zig-gen-release-fast-fba, 512, 3.10, 5.87, 0.10543863
lion-zig-gen-release-fast-fba, 512, 2.97, 5.83, 0.10638368
lion-zig-gen-release-fast-fba, 512, 3.05, 5.88, 0.10453187
lion-zig-gen-release-fast-fba, 1024, 3.03, 5.71, 0.10655625
lion-zig-gen-release-fast-fba, 1024, 3.05, 5.54, 0.10648945
lion-zig-gen-release-fast-fba, 1024, 3.03, 5.64, 0.10416984
lion-zig-gen-release-fast-fba, 1024, 3.00, 5.61, 0.10404865
lion-zig-gen-release-fast-fba, 1024, 3.04, 5.76, 0.10458162
lion-zig-gen-release-fast-fba, 1024, 3.11, 5.56, 0.10569300
lion-zig-gen-release-fast-fba, 1024, 3.13, 5.80, 0.10509164
lion-zig-gen-release-fast-fba, 1024, 3.15, 6.12, 0.10280469
lion-zig-gen-release-fast-fba, 1024, 3.07, 6.32, 0.10380155
lion-zig-gen-release-fast-fba, 1024, 2.95, 6.44, 0.10802550
lion-zig-gen-release-fast-fba, 1024, 3.12, 5.95, 0.10464676
lion-zig-gen-release-fast-fba, 1024, 3.01, 5.76, 0.10747220
lion-zig-gen-release-fast-fba, 1024, 3.03, 5.78, 0.10430420
lion-zig-gen-release-fast-fba, 1024, 3.10, 6.02, 0.10443297
lion-zig-gen-release-fast-fba, 1024, 3.12, 6.07, 0.10430192
lion-zig-gen-release-fast-fba, 2048, 3.08, 6.00, 0.10511918
lion-zig-gen-release-fast-fba, 2048, 3.04, 5.83, 0.10362007
lion-zig-gen-release-fast-fba, 2048, 3.10, 5.69, 0.10714571
lion-zig-gen-release-fast-fba, 2048, 3.17, 5.66, 0.10432427
lion-zig-gen-release-fast-fba, 2048, 3.05, 5.75, 0.10701126
lion-zig-gen-release-fast-fba, 2048, 3.16, 7.30, 0.10639253
lion-zig-gen-release-fast-fba, 2048, 3.14, 6.32, 0.10945514
lion-zig-gen-release-fast-fba, 2048, 3.16, 6.31, 0.10621752
lion-zig-gen-release-fast-fba, 2048, 3.22, 6.11, 0.10515186
lion-zig-gen-release-fast-fba, 2048, 3.09, 6.09, 0.10620034
lion-zig-gen-release-fast-fba, 2048, 3.18, 5.84, 0.10555181
lion-zig-gen-release-fast-fba, 2048, 3.12, 5.75, 0.10680957
lion-zig-gen-release-fast-fba, 2048, 3.14, 5.62, 0.10426784
lion-zig-gen-release-fast-fba, 2048, 3.22, 5.87, 0.10661726
lion-zig-gen-release-fast-fba, 2048, 3.10, 5.73, 0.10582755
