Prefix,size,RAM,ECPU,PCPU,seconds
evostar-mac-ops, 512, 0.71, 0.16, 11.79, 4.34672454
evostar-mac-ops, 512, 0.58, 0.09, 11.42, 3.91162567
evostar-mac-ops, 512, 0.60, 0.10, 11.37, 3.75241779
evostar-mac-ops, 512, 0.79, 0.15, 12.28, 4.01798829
evostar-mac-ops, 512, 0.58, 0.08, 11.25, 3.82818917
evostar-mac-ops, 512, 0.57, 0.08, 11.38, 3.97923925
evostar-mac-ops, 512, 0.63, 0.10, 11.67, 3.91337325
evostar-mac-ops, 512, 0.71, 0.14, 12.97, 4.12045896
evostar-mac-ops, 512, 0.61, 0.28, 11.46, 3.96847704
evostar-mac-ops, 512, 0.66, 0.15, 12.19, 4.14245754
evostar-mac-ops, 512, 0.75, 0.21, 12.22, 4.08841221
evostar-mac-ops, 512, 1.05, 0.45, 14.91, 4.33732250
evostar-mac-ops, 512, 0.65, 0.13, 11.97, 4.14542296
evostar-mac-ops, 512, 0.81, 0.20, 14.69, 4.30529583
evostar-mac-ops, 512, 0.79, 0.25, 12.57, 4.22864483
evostar-mac-ops, 1024, 0.79, 0.31, 14.26, 4.34067850
evostar-mac-ops, 1024, 0.63, 0.29, 12.08, 4.26052492
evostar-mac-ops, 1024, 0.64, 0.53, 10.64, 3.48001750
evostar-mac-ops, 1024, 0.51, 0.27, 10.33, 3.25636763
evostar-mac-ops, 1024, 0.53, 0.06, 10.72, 3.53660650
evostar-mac-ops, 1024, 0.49, 0.05, 10.56, 3.37699392
evostar-mac-ops, 1024, 0.51, 0.05, 10.70, 3.55656487
evostar-mac-ops, 1024, 0.51, 0.09, 10.54, 3.35978333
evostar-mac-ops, 1024, 0.54, 0.08, 10.90, 3.54425921
evostar-mac-ops, 1024, 0.51, 0.07, 10.82, 3.53120142
evostar-mac-ops, 1024, 0.53, 0.06, 11.04, 3.72512771
evostar-mac-ops, 1024, 0.53, 0.05, 10.99, 3.66884333
evostar-mac-ops, 1024, 0.56, 0.07, 11.51, 3.83032521
evostar-mac-ops, 1024, 0.54, 0.05, 11.24, 3.81456908
evostar-mac-ops, 1024, 0.56, 0.07, 11.44, 3.93129796
evostar-mac-ops, 2048, 0.55, 0.06, 11.58, 3.95926392
evostar-mac-ops, 2048, 0.60, 0.09, 11.93, 4.06551775
evostar-mac-ops, 2048, 0.58, 0.06, 11.90, 4.08054433
evostar-mac-ops, 2048, 0.59, 0.07, 12.01, 4.20055854
evostar-mac-ops, 2048, 0.61, 0.07, 12.08, 4.18590267
evostar-mac-ops, 2048, 0.59, 0.05, 12.10, 4.23493333
evostar-mac-ops, 2048, 0.60, 0.07, 12.34, 4.21403138
evostar-mac-ops, 2048, 0.62, 0.09, 12.34, 4.34697642
evostar-mac-ops, 2048, 0.61, 0.08, 12.30, 4.27396254
evostar-mac-ops, 2048, 0.62, 0.11, 12.44, 4.39476725
evostar-mac-ops, 2048, 0.63, 0.07, 12.48, 4.42112567
evostar-mac-ops, 2048, 0.63, 0.06, 12.70, 4.58958642
evostar-mac-ops, 2048, 0.63, 0.08, 12.72, 4.56917779
evostar-mac-ops, 2048, 0.64, 0.09, 12.74, 4.59510871
evostar-mac-ops, 2048, 0.64, 0.08, 12.86, 4.57806471
