Platform,size,GPU,PKG,seconds
evostar-zig-bitset-gen, 2048, 14.62, 34.95, 0.68513283
evostar-zig-bitset-gen, 2048, 14.54, 37.11, 0.68514120
evostar-zig-bitset-gen, 2048, 14.63, 37.28, 0.68741944
evostar-zig-bitset-gen, 2048, 14.38, 36.53, 0.68475329
evostar-zig-bitset-gen, 2048, 14.40, 35.56, 0.68966418
evostar-zig-bitset-gen, 2048, 14.41, 36.74, 0.67859256
evostar-zig-bitset-gen, 2048, 14.37, 35.77, 0.68502670
evostar-zig-bitset-gen, 2048, 14.46, 34.28, 0.68479288
evostar-zig-bitset-gen, 2048, 14.38, 35.21, 0.68930348
evostar-zig-bitset-gen, 2048, 14.46, 35.62, 0.68003173
evostar-zig-bitset-gen, 2048, 14.38, 35.67, 0.68524170
evostar-zig-bitset-gen, 2048, 14.36, 35.91, 0.68526346
evostar-zig-bitset-gen, 2048, 14.28, 37.42, 0.68186987
evostar-zig-bitset-gen, 2048, 14.37, 36.60, 0.67752488
evostar-zig-bitset-gen, 2048, 14.33, 35.40, 0.68492666
