Platform,size,GPU,PKG,seconds
lion-zig-gen, 512, 31.98, 83.47, 1.54527816
lion-zig-gen, 512, 33.07, 81.36, 1.56962754
lion-zig-gen, 512, 31.82, 87.08, 1.53114462
lion-zig-gen, 512, 33.88, 85.95, 1.55552163
lion-zig-gen, 512, 32.63, 82.94, 1.55160707
lion-zig-gen, 512, 42.47, 97.27, 1.57747781
lion-zig-gen, 512, 52.20, 84.75, 1.54958406
lion-zig-gen, 512, 34.84, 86.22, 1.55687815
lion-zig-gen, 512, 32.04, 85.57, 1.54507816
lion-zig-gen, 512, 33.07, 84.10, 1.55476610
lion-zig-gen, 512, 33.03, 81.75, 1.55285410
lion-zig-gen, 512, 32.03, 81.40, 1.53976079
lion-zig-gen, 512, 32.01, 82.93, 1.54344240
lion-zig-gen, 512, 33.46, 81.07, 1.55699379
lion-zig-gen, 512, 33.06, 87.04, 1.55665810
lion-zig-gen, 1024, 63.08, 163.91, 3.03967722
lion-zig-gen, 1024, 65.42, 172.18, 3.04394763
lion-zig-gen, 1024, 65.07, 165.37, 3.03524260
lion-zig-gen, 1024, 65.04, 174.29, 3.08715928
lion-zig-gen, 1024, 62.71, 162.43, 3.04824976
lion-zig-gen, 1024, 62.86, 161.80, 3.03400788
lion-zig-gen, 1024, 63.87, 165.94, 3.04109465
lion-zig-gen, 1024, 64.13, 165.07, 3.09042200
lion-zig-gen, 1024, 63.46, 169.37, 3.01938774
lion-zig-gen, 1024, 63.69, 163.30, 3.06063658
lion-zig-gen, 1024, 63.58, 165.21, 3.01841597
lion-zig-gen, 1024, 62.89, 157.73, 3.03021730
lion-zig-gen, 1024, 62.79, 171.14, 3.01870627
lion-zig-gen, 1024, 61.98, 160.33, 2.99182155
lion-zig-gen, 1024, 63.10, 158.88, 3.03330217
lion-zig-gen, 2048, 126.23, 321.52, 6.06356743
lion-zig-gen, 2048, 124.05, 328.31, 6.00022500
lion-zig-gen, 2048, 122.91, 334.00, 5.94139196
lion-zig-gen, 2048, 123.14, 322.19, 5.92111657
lion-zig-gen, 2048, 138.82, 339.87, 5.95497348
lion-zig-gen, 2048, 126.76, 332.83, 5.99725798
lion-zig-gen, 2048, 126.67, 390.39, 5.95671035
lion-zig-gen, 2048, 126.10, 312.37, 6.05976306
lion-zig-gen, 2048, 122.46, 315.30, 5.93274369
lion-zig-gen, 2048, 122.71, 300.78, 5.97417850
lion-zig-gen, 2048, 125.27, 311.80, 6.02332967
lion-zig-gen, 2048, 123.18, 317.52, 5.92152644
lion-zig-gen, 2048, 126.00, 313.52, 6.08463723
lion-zig-gen, 2048, 126.64, 363.83, 6.05314214
lion-zig-gen, 2048, 123.30, 364.62, 5.99777766
