Platform,size,GPU,PKG,seconds
evostar-zig-ops-bool, 512, 7.06, 16.03, 0.31500168
evostar-zig-ops-bool, 512, 7.16, 16.25, 0.32307079
evostar-zig-ops-bool, 512, 7.34, 17.97, 0.32437641
evostar-zig-ops-bool, 512, 7.23, 17.12, 0.31730296
evostar-zig-ops-bool, 512, 7.17, 17.20, 0.32438322
evostar-zig-ops-bool, 512, 6.10, 14.54, 0.29481321
evostar-zig-ops-bool, 512, 7.14, 16.50, 0.32537688
evostar-zig-ops-bool, 512, 7.12, 16.68, 0.32391579
evostar-zig-ops-bool, 512, 7.15, 17.02, 0.32328054
evostar-zig-ops-bool, 512, 7.13, 16.98, 0.31845734
evostar-zig-ops-bool, 512, 7.13, 16.77, 0.32425232
evostar-zig-ops-bool, 512, 7.10, 17.58, 0.32243489
evostar-zig-ops-bool, 512, 7.04, 19.19, 0.32406723
evostar-zig-ops-bool, 512, 7.03, 17.52, 0.32158053
evostar-zig-ops-bool, 512, 7.04, 17.20, 0.32220608
evostar-zig-ops-bool, 1024, 9.09, 23.82, 0.43969533
evostar-zig-ops-bool, 1024, 9.11, 24.38, 0.43518866
evostar-zig-ops-bool, 1024, 9.13, 24.12, 0.43681900
evostar-zig-ops-bool, 1024, 9.31, 24.52, 0.42934028
evostar-zig-ops-bool, 1024, 9.35, 23.91, 0.43501025
evostar-zig-ops-bool, 1024, 9.44, 25.08, 0.43937375
evostar-zig-ops-bool, 1024, 12.15, 26.32, 0.44259652
evostar-zig-ops-bool, 1024, 16.54, 26.67, 0.44047252
evostar-zig-ops-bool, 1024, 17.16, 26.98, 0.44239790
evostar-zig-ops-bool, 1024, 16.87, 25.79, 0.43840483
evostar-zig-ops-bool, 1024, 14.26, 26.09, 0.44116379
evostar-zig-ops-bool, 1024, 10.36, 27.54, 0.43642517
evostar-zig-ops-bool, 1024, 10.06, 26.51, 0.44057210
evostar-zig-ops-bool, 1024, 10.16, 25.51, 0.44115367
evostar-zig-ops-bool, 1024, 9.82, 25.17, 0.44141570
evostar-zig-ops-bool, 2048, 14.85, 41.59, 0.65792824
evostar-zig-ops-bool, 2048, 15.52, 47.51, 0.66716530
evostar-zig-ops-bool, 2048, 15.86, 42.62, 0.65961325
evostar-zig-ops-bool, 2048, 14.96, 36.68, 0.64344481
evostar-zig-ops-bool, 2048, 15.84, 37.81, 0.65858811
evostar-zig-ops-bool, 2048, 14.91, 36.18, 0.65778976
evostar-zig-ops-bool, 2048, 14.95, 34.71, 0.65714259
evostar-zig-ops-bool, 2048, 15.38, 34.82, 0.65971834
evostar-zig-ops-bool, 2048, 15.43, 34.57, 0.65356381
evostar-zig-ops-bool, 2048, 14.54, 32.27, 0.64427336
evostar-zig-ops-bool, 2048, 14.88, 35.95, 0.65217263
evostar-zig-ops-bool, 2048, 15.04, 35.57, 0.65452941
evostar-zig-ops-bool, 2048, 14.29, 34.16, 0.66148060
evostar-zig-ops-bool, 2048, 15.57, 37.79, 0.66104422
evostar-zig-ops-bool, 2048, 15.67, 35.43, 0.65988609
