Platform,size,GPU,PKG,seconds
lion-zig-ops-bool, 512, 22.67, 52.79, 1.07889425
lion-zig-ops-bool, 512, 22.36, 55.60, 1.06189605
lion-zig-ops-bool, 512, 22.26, 52.89, 1.06283473
lion-zig-ops-bool, 512, 22.28, 50.77, 1.08351146
lion-zig-ops-bool, 512, 22.38, 52.60, 1.05561283
lion-zig-ops-bool, 512, 21.61, 48.94, 1.02767049
lion-zig-ops-bool, 512, 22.45, 55.21, 1.08608002
lion-zig-ops-bool, 512, 22.38, 54.35, 1.05693884
lion-zig-ops-bool, 512, 22.41, 51.75, 1.07204377
lion-zig-ops-bool, 512, 21.43, 50.24, 1.02781910
lion-zig-ops-bool, 512, 22.66, 56.58, 1.07353021
lion-zig-ops-bool, 512, 41.08, 70.35, 1.10481896
lion-zig-ops-bool, 512, 35.41, 59.56, 1.04019695
lion-zig-ops-bool, 512, 23.45, 53.61, 1.04125470
lion-zig-ops-bool, 512, 22.68, 52.41, 1.07937665
lion-zig-ops-bool, 1024, 59.31, 125.61, 2.00265443
lion-zig-ops-bool, 1024, 57.61, 109.25, 2.01393878
lion-zig-ops-bool, 1024, 43.86, 128.50, 2.05024542
lion-zig-ops-bool, 1024, 49.57, 143.68, 2.10821338
lion-zig-ops-bool, 1024, 45.04, 131.83, 2.01727139
lion-zig-ops-bool, 1024, 48.51, 139.63, 2.10513347
lion-zig-ops-bool, 1024, 43.19, 111.22, 2.03632477
lion-zig-ops-bool, 1024, 43.77, 109.05, 2.06730137
lion-zig-ops-bool, 1024, 73.07, 119.45, 2.09293526
lion-zig-ops-bool, 1024, 47.69, 132.70, 2.04384916
lion-zig-ops-bool, 1024, 49.62, 156.99, 2.13012605
lion-zig-ops-bool, 1024, 44.39, 137.59, 2.07845195
lion-zig-ops-bool, 1024, 41.39, 117.52, 2.01487009
lion-zig-ops-bool, 1024, 42.98, 103.40, 2.10446679
lion-zig-ops-bool, 1024, 42.31, 99.70, 2.07040077
